,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.0,1.25,0.0,0.75,0.0,1.8,1.0,0.25,0.25,0.0,0.6267473245263833
1,0.0,0.75,0.5,0.0,0.75,4.0,0.5,0.25,0.75,0.25,0.031986605002791844
2,0.5,0.25,0.25,0.0,0.75,2.2,0.75,0.0,0.0,1.25,0.12824840959039838
3,0.25,0.0,1.5,0.0,1.25,1.6,0.0,0.0,1.0,0.0,0.0002797734485967661
4,0.0,1.0,0.0,0.0,0.25,4.6,1.0,0.0,1.0,0.0,0.5377931494125031
5,0.25,0.0,0.25,0.0,0.0,3.8000000000000003,0.75,0.0,2.0,0.0,0.013349433285018197
6,0.5,0.0,0.0,1.25,0.0,1.2,0.25,0.25,0.5,1.25,0.06677801466234397
7,0.25,0.25,0.0,0.75,0.0,3.2,0.0,0.25,0.25,1.5,0.5498392583609648
8,0.0,0.0,0.0,1.25,0.25,3.0,0.0,0.75,1.0,0.0,0.08038786239737997
9,0.25,1.25,0.25,0.75,0.0,4.800000000000001,0.0,0.5,1.0,0.0,0.017615994966613473
10,0.0,0.25,0.25,0.0,0.25,3.8000000000000003,0.0,0.25,1.75,0.75,0.013027908079529863
11,1.25,0.0,0.25,0.25,0.75,3.8000000000000003,0.25,0.75,0.0,0.25,0.002852076069451263
12,0.5,0.25,0.0,0.5,0.25,4.4,0.0,1.25,0.5,0.25,0.01612052140737355
13,0.5,0.0,0.5,0.75,0.0,4.2,0.25,0.25,1.25,0.0,0.0049114558808092575
14,0.25,0.5,0.25,0.5,0.25,2.8,0.0,0.25,1.5,0.0,0.02901729164074425
15,0.75,0.0,0.25,0.5,0.0,2.6,2.0,0.25,0.0,0.0,0.007251161665546792
16,0.25,0.75,1.0,0.0,0.25,1.2,0.0,0.75,0.5,0.25,0.001689402565990893
17,1.0,0.0,0.5,0.25,0.0,2.4000000000000004,0.25,0.0,0.5,1.0,0.012024956708563616
18,1.0,0.75,0.0,0.0,0.0,4.0,0.5,1.5,0.0,0.0,0.00022297260793634056
19,0.25,0.25,0.25,0.0,0.5,1.2,0.0,1.25,0.5,0.75,0.003882573112440692
20,0.0,0.25,0.25,0.0,0.0,1.2,0.25,1.0,0.0,1.0,0.01860473071794423
21,0.5,1.0,0.0,0.25,0.0,1.4,0.5,1.0,0.0,0.75,0.029913145637548526
22,0.25,0.0,0.5,0.25,0.5,2.6,0.5,0.5,0.25,0.0,0.029456066937951157
23,0.25,0.5,0.25,0.25,0.25,1.4,0.0,0.75,1.5,0.0,0.0029902663460514125
24,0.0,0.75,0.25,0.75,0.0,3.6,0.25,0.5,1.25,0.0,0.014016186888797043
25,0.75,1.25,0.75,0.0,0.0,4.6,0.5,0.0,0.5,0.0,0.04671433923863849
26,1.0,0.75,0.0,0.5,1.5,2.8,0.0,0.0,0.0,0.0,0.03732213325684877
27,0.25,0.75,0.25,0.0,0.25,1.8,0.0,0.0,1.25,0.75,0.07956072200272404
28,0.5,0.75,0.0,0.0,0.0,4.2,0.25,1.5,0.0,0.0,0.011319651907376946
29,0.25,0.0,0.0,0.25,0.5,3.0,1.25,0.5,1.25,0.0,0.008053025860602827
30,1.25,0.25,0.0,0.5,0.75,2.6,0.0,0.25,0.25,0.0,0.06782913821822661
