,x0,x1,x2,x3,x4,x5,x6,x7,x8,Target,Hypothesis
0,-31.67422168770929,-31.17220195743479,-31.127196240203236,-32.523900266339595,-31.563995986417126,-31.71697083327083,-31.840183188379864,-31.82510851115097,-31.502574314245336,-21.82821824321565,Poor
1,-7.45982168770929,-6.957801957434789,-6.912796240203237,-8.309500266339597,-7.349595986417124,-7.502570833270832,-7.625783188379863,-7.6107085111509685,-7.288174314245337,-17.484794665840568,Weak
2,3.072927737141967,19.523110258776818,20.99785760102032,-24.76933992741594,6.6848035170836795,1.672123735381355,-2.3652987168313544,-1.8713316933949322,8.697468870808791,-20.31691753613978,Global
3,27.89630807065648,20.67679908662096,29.126934684194417,27.497931870014,-5.581648930339483,21.35241276149926,29.246103148260033,8.391626144834262,-16.23524688770454,-21.694773737394918,Global
4,6.052308767541959,23.619424162473884,-29.59262144056391,23.252077596627394,14.43194585294367,-13.371084842137563,-0.9564014392463065,22.562439037438303,6.716859614156249,-21.41827484036737,Global
5,-8.5536,-8.5536,-8.5536,-6.5536,-8.5536,-8.5536,-6.5536,-6.5536,-8.5536,-18.244988549999388,Weak
6,-32.768,-32.768,-32.768,-30.768,-32.768,-32.768,-30.768,-30.768,-32.768,-21.566336267483493,Poor
7,-6.5536,-8.5536,-8.5536,-8.5536,-6.5536,-6.5536,-8.5536,-8.5536,-8.5536,-18.244988549999388,Weak
8,-8.5536,-6.5536,-6.5536,-6.5536,-6.5536,-6.5536,-8.5536,-6.5536,-6.5536,-17.4436103687627,Weak
9,-6.5536,-6.5536,-6.5536,-6.5536,-6.5536,-8.5536,-6.5536,-8.5536,-6.5536,-17.4436103687627,Weak
10,-6.5536,-6.5536,-6.5536,-8.5536,-8.5536,-8.5536,-8.5536,-6.5536,-6.5536,-17.87416458177812,Weak
11,-8.5536,-6.5536,-6.5536,-8.5536,-8.5536,-6.5536,-6.5536,-8.5536,-8.5536,-18.0662093387605,Weak
12,-8.5536,-6.5536,-8.5536,-8.5536,-6.5536,-6.5536,-6.5536,-6.5536,-6.5536,-17.667259552831815,Weak
13,-8.5536,-8.5536,-6.5536,-8.5536,-6.5536,-8.5536,-6.5536,-8.5536,-6.5536,-18.0662093387605,Weak
14,-10.141403337341725,-10.484203191327143,1.5202441615268114,0.6269794841829821,8.612590773068064,-16.299454110314787,-9.572687731052312,-12.232523122730651,-6.09276530059163,-19.089881764532752,Global
15,-6.2474290113527235,-3.2086527158196274,-5.0269441674124815,-7.765525692244008,-2.923982570856315,-7.615379940068512,-7.029075277460962,-5.8673562631841,-8.456240448246367,-15.765598998758733,Global
16,-6.603340831248473,-0.06801677159441209,-5.302381796907497,-8.190223852034826,-1.3325210596266168,-8.079332705254785,-8.28787036305531,-7.1836553517722646,-8.053733355427436,-16.16474270195975,Global
17,-4.152927574007344,-1.8673726101508128,-3.0144604545867537,-8.16518979123101,-1.228127366298476,-5.497640380082111,-6.116573830420236,-5.231737682557395,-7.611046267502168,-14.516033339485928,Global
18,-3.1145866433093206,-0.6654458365428366,-3.124351984541111,-6.731706192341561,-0.5820768165064024,-5.330850498682031,-4.855286844908748,-3.5321572562039587,-8.697324617050164,-14.155792546368007,Global
19,-3.424476525541075,-1.3030174402794827,-1.4347390602428423,-8.980842857028543,0.412025145460009,-5.595577521673044,-4.98380583397671,-2.659304477286463,-9.540090301301987,-15.065348468158444,Global
20,-1.876307393832977,-0.9836693859238692,-2.2319504703045148,-5.398438534723737,-1.2355309138591566,-3.8687014539090545,-6.199499063991946,-5.109474412285847,-8.844341726545812,-13.424360718804419,Global
21,-0.02404407447123927,-1.431598196736063,-3.408332288097104,-5.561423665090731,-0.08458868461729885,-3.2407730898647014,-6.4534655169987,-4.729382423501906,-7.6232893535678175,-13.73300895362498,Global
22,-1.241310824796097,-0.08025581518914009,-1.5192371995478713,-5.190896603684647,-1.5446590515003797,-2.4826640093756827,-4.351612220487188,-5.565171507500846,-7.244671812342332,-12.969065073376164,Global
23,-2.6172892883149537,0.02686786609502442,-1.208076669361688,-4.039724748201235,-1.0702048152317927,-1.3755937549848998,-5.6336820446941855,-4.196103578907689,-6.59581546018473,-12.039846290111756,Global
24,-2.2345023073947554,0.4278743262061519,-0.01407645567730172,-3.219327242278377,-1.4067607612060398,-2.4319466349217795,-6.333410788437788,-3.350077322535583,-5.401359520591368,-11.886620036784954,Global
25,-2.073300721617755,1.7440154214001022,-0.7087837301986565,-3.878202322529273,-2.528865246998503,-0.9219256004010422,-6.8459212986461955,-2.852174691029124,-6.099197991082989,-11.7238253282704,Global
26,-2.2834856032180917,2.758371313788118,-0.36268472802113944,-2.2691666626138294,-0.8808123054126857,-0.9533348222878368,-6.6806745590277945,-3.921736503237654,-6.312320609637878,-11.974597032855701,Global
27,-1.9303360199884088,0.546427927376897,-0.1690848103466168,-1.714014883441224,-2.583497115953769,-0.30460108212955406,-5.744316758985624,-2.3527602690241576,-6.635267953722669,-11.546484211670608,Global
28,-2.1010731918229193,0.3842347608242633,1.656184747247614,-2.998540871303264,-2.033336486393725,0.8213236116858481,-6.785652094724075,-3.1206595139112547,-6.1278708177851975,-11.43202058340912,Global
29,-2.716095298166695,0.4720209710634522,0.07750135003614099,-2.0273962201919944,-2.993225903364596,1.0320190836654912,-6.578811688799973,-3.7587004487923577,-4.3106186337128145,-11.19606811416464,Global
30,-3.3788789589542563,1.1799696390029089,0.617439796720173,-2.6988148119718556,-2.008179268935335,1.3801890148491782,-5.194038242226948,-1.9113928078764852,-3.928868671837233,-10.26144176577925,Global
31,-2.2007467615269154,1.131205391836082,0.12264046247748245,-2.7356603744966903,-0.9013474119478864,2.2857229885222754,-5.116451144005993,-0.86940987464188,-2.85770112686125,-8.90210721117464,Global
32,-1.4598500872721867,0.7855212861386321,-0.48842889889480795,-2.3727461366012728,0.11842491786036295,3.089228774157085,-6.066744163307674,0.20012873001246145,-2.192331930347582,-9.693045849082758,Global
