x0,x1,x2,x3,x4,Value,Timestamp
-7.594042024429911,-8.273171654129053,-7.573372123900852,-7.387939006053363,-7.376468363866347,17.873871584648644,12
-8.070062158077116,-7.618116741942392,-7.321112808861629,-7.361560209604672,-7.212615075712092,17.402698012546573,24
-7.287426759467693,-7.446828167676003,-7.163447929764258,-7.923059561471087,-8.23940891921908,17.303937387022096,30
-7.004456135659111,-7.962093757273349,-7.699921978823562,-7.425666800579354,-7.548684562802145,17.322912263556212,32
-8.58475764188482,-7.730260983946612,-7.2839827807159745,-7.444361511019877,-7.431079914215591,17.894486450706744,33
-7.53919637217734,-7.480853114382228,-7.628401064634517,-7.575334857713873,-7.465725990892584,17.884757066256785,7021
-7.515363762984622,-7.422066409843114,-7.506590981324436,-7.515458376377377,-7.545598592245029,17.87619976134728,14894
-7.500441384373716,-7.532269523095039,-7.559885080079167,-7.67749463764482,-7.587974100544943,17.88769247143619,22096
-7.540375283500221,-7.47987268657538,-7.772848039493119,-7.349362003185206,-7.4969290576426575,17.775127965896715,27159
-7.358002390184035,-7.537693114904438,-7.634156419129294,-7.600994455498078,-7.636929460791517,17.828890575638024,35018
-7.316170993706612,-7.614808338963699,-7.500673455296676,-7.346074994092362,-7.258231772892267,17.59895740100745,42583
-7.250789172329517,-7.498571558985769,-7.6121288437200905,-7.402518293940413,-7.4506287233543045,17.71240885453782,49393
-17.847149954790936,-1.9261749922523421,2.6744995824686555,7.915779431238228,-10.184612616210828,18.412875421736253,49470
-7.190855581261971,-7.480558408706303,-7.492794947091628,-7.5202980855832635,-7.456204606023949,17.70352147185709,57255
-7.287448882725818,-7.320057613268797,-7.438273879496862,-7.83864062431801,-7.606972874656451,17.564337838110628,64749
8.179822590452723,-26.66836137756483,-22.67804798829708,31.78138375827986,14.03003314231119,21.344605415928,64876
-7.317168367678851,-7.447053154103203,-7.698891556443781,-7.436158254162116,-7.58123496747719,17.753011340669065,71404
31.601869320043306,-18.575666975713773,12.572981555678133,1.1453646173650611,30.554529817991536,21.918613151165477,71556
-7.271777975325474,-7.315985684585012,-7.382749093388526,-7.929321036868454,-7.308513583189261,17.343931950757394,78127
-7.591358694970065,-7.60964378638182,-7.404673408108334,-7.525963602665218,-7.250592393090125,17.731896222715267,85572
-7.307569112057169,-7.543677194837967,-7.3508631187198485,-7.961566452408756,-7.7018379196945395,17.542756834360077,92718
-7.856831257265979,-7.4678019614366775,-7.505360307518849,-7.426518951082432,-7.161671120851125,17.535846042240163,99739
-9.824309522620862,17.842112148012717,-29.82294458801623,15.136581344987974,-15.53837591419029,21.004715878079313,99890
-7.116362687838336,-7.449805616441729,-7.73483389132663,-7.639008209722782,-7.604556989730664,17.559672152140713,106321
-30.866101391726854,-15.66450925564757,7.850210411035285,14.811418812319062,-28.607887425306707,21.37280468864319,106350
-7.310395864996693,-7.386400506061992,-7.54662201272399,-6.91783044645647,-7.481414525800702,17.459949943087263,113914
-0.1899286975986385,-21.737985939378945,-29.76841506610458,-0.27387236056799225,-2.395666134389046,21.084778229239333,114025
-7.0520531164260865,-7.739932188615432,-7.637935904908323,-7.363175583776667,-7.687059667975488,17.404186050699487,120790
-7.586648946449183,-7.358386305357715,-7.6765922402955304,-7.668077649753172,-6.684194001305194,17.600895453553512,128676
-7.239870877106354,-7.61376886748688,-7.291491546222523,-7.891647929508791,-7.709740336642984,17.38412462502476,135634
-7.298240188739181,-7.691837982902694,-7.706803722767473,-7.4085369121645295,-7.500381144620354,17.700600429977253,142769
-6.935527507187695,-7.692198634384027,-7.329316256954124,-7.53650675275528,-7.6670029052223825,17.441545110926786,149985
-7.251536502204928,-7.432181490992555,-7.685948237156023,-6.846962371932479,-7.708489920741743,17.338971273100057,155925
-7.272542243708727,-7.440593773278074,-7.330469396967938,-7.294900507253834,-7.566569037955608,17.571862832503246,164016
-7.650468293499929,-7.522219856359805,-7.371235285602555,-7.4035475059424805,-8.006374871558343,17.68046045745158,171411
-7.7769593511164175,-7.331602339967249,-7.637388462555908,-7.032182356549292,-7.694972488057463,17.31950803809503,178504
-7.3657494951188625,-7.3342587641949635,-7.669479566829507,-7.359848475704098,-7.705967678053092,17.646955030903577,183287
-7.76515296951268,-7.2562534934210365,-7.609518061840053,-7.161407855615842,-7.820256362795291,17.230993673897235,190451
-7.613960761126143,-7.29106668325109,-7.3137574051742265,-6.827467470923888,-7.676566547322168,17.361188075109222,198509
-7.892197370439642,-7.0153350406635955,-7.801491336824224,-7.237034424170034,-7.66640546018765,16.885245544582283,206261
-7.409337509714733,-7.315584091848873,-7.988312049618806,-7.352793846001418,-6.665211208481332,17.36473347301355,215452
-7.867605091647671,-7.0312187642624515,-7.693010544285424,-7.603147839520176,-7.671952163584886,17.318248416018466,223169
-7.892197370439642,-7.0153350406635955,-7.801491336824224,-7.237034424170034,-7.666405460187651,16.885245544582283,229664
27.747401780312806,21.698743515216258,17.966652070323654,-20.58174023971862,31.166875259845312,21.50789312046685,230007
-7.808520624518508,-8.50567166922701,-7.8522984142344185,-7.447803650080222,-7.380002767038317,17.813752735365213,235814
