x1,x2,x3,x4,x5,x6,x7,x8,x9,target,iteration
25.576023,-30.968891,26.420021,2.5316849,15.153328,26.521042,-10.685297,-30.491158,8.7426605,-21.806065,1
-31.44838,28.229527,3.9790344,-21.682777,6.498783,9.8381,-12.944082,17.314533,2.9197502,-21.08004,2
-25.470253,12.612221,12.614227,15.916508,-4.5683403,-26.24715,-2.8036785,-6.171053,-31.945057,-21.280659,3
-14.7607155,16.132969,30.201424,-21.370388,-8.209293,-11.748072,-10.635534,-13.259743,-32.669933,-21.37571,4
-4.0858173,26.98425,-16.689249,-23.685106,-25.934631,-21.577505,28.572124,-22.288433,-28.130674,-21.447384,5
-32.768,31.5356,-1.5512927,3.491777,5.320836,-9.916133,-10.440537,23.649916,-8.315112,-21.561447,6
-31.098604,26.720373,10.7551155,-28.127718,4.926113,10.891267,-14.773305,12.5807085,-0.3484677,-21.021538,7
-32.768,31.498907,15.462408,-32.768,2.9537199,18.671946,-17.395914,11.802691,1.5558834,-21.706188,8
-29.564623,21.182087,23.101357,-32.768,2.5217881,9.572065,-17.378168,3.0355563,-8.066723,-21.3432,9
-32.33243,32.7343,3.010202,-32.768,3.4355283,11.427036,-18.113655,7.865382,-2.1239352,-21.28164,10
-29.969961,21.458595,15.611483,-27.208017,7.045212,9.984394,-10.769619,19.217001,2.8380015,-20.900341,11
-32.731735,19.196848,0.5857854,-28.18934,8.143955,9.222925,-7.0759683,27.838743,0.4645506,-21.148796,12
-31.167133,13.340347,16.118149,-10.822689,8.942449,10.530347,-4.7452292,29.994005,2.6129131,-20.914509,13
-23.652994,-9.2883,14.34469,-32.768,3.34588,9.788359,-11.022333,23.42258,4.226849,-21.238194,14
-32.60824,27.91481,19.082567,-15.766547,12.58584,10.381805,-0.75645053,31.548727,2.9946985,-21.42572,15
-31.826773,9.357823,18.489717,-12.602634,7.200714,11.475846,-6.5139766,28.021027,-0.3186564,-21.344559,16
-30.613028,16.8988,13.802744,-10.214521,11.315401,9.1118145,-1.8305361,32.768,4.9632425,-20.81768,17
-30.495422,17.756632,11.972687,-15.026493,6.0524397,10.977422,-11.311149,21.854008,3.7672246,-20.50909,18
-28.585102,18.781662,14.423251,-12.604646,4.793713,11.108015,-14.726907,16.519165,6.3742585,-21.143513,19
-31.174047,15.287577,10.649544,-13.885156,6.5892677,10.055654,-9.795058,25.223803,2.9736662,-20.717506,20
-28.960052,14.64363,8.548434,-11.698092,4.6249905,10.795133,-14.032077,18.157923,4.1341143,-20.563122,21
-30.156754,19.561584,4.668017,-24.76285,1.8635151,9.032021,-19.858284,11.214356,3.9901736,-20.677639,22
-32.768,16.890383,8.554051,-32.768,5.1429987,9.451171,-1.3544067,32.768,4.05897,-21.356361,23
-27.586983,18.681593,13.146549,-13.6536255,7.5263376,11.222508,-17.139942,10.870969,3.6712081,-20.88478,24
-32.511047,15.333859,10.712411,-17.328234,1.0938889,10.236316,-16.386728,21.474892,4.223116,-21.305645,25
-29.916578,11.43209,9.754655,-10.306363,2.2906728,12.661428,-18.490877,14.858712,2.8076243,-20.796082,26
-29.825167,18.635637,2.2986507,-13.963056,5.826991,9.869401,-11.769689,19.968714,3.030866,-20.277328,27
-30.624792,17.934242,4.0425634,-14.303728,10.251865,10.651511,-4.083064,27.510176,0.8801087,-20.89318,28
-29.726732,19.869408,-5.508818,-12.21091,4.31641,7.680041,-10.142636,22.248547,3.5152996,-20.951736,29
-28.933197,18.562126,4.3056836,-14.47281,4.577186,11.119826,-14.396061,16.127085,3.5985062,-20.964119,30
-30.001398,-10.17277,5.265792,-18.295027,20.387453,-1.6891643,-24.063759,27.448315,6.598699,-21.340668,31
-29.951397,-2.452381,6.0451617,15.169949,8.737334,8.36489,-1.6905712,-10.732858,6.43424,-20.247112,32
-29.842222,-12.6209,6.2069254,26.397676,9.564645,8.4047365,-20.029423,5.1674604,5.6070223,-21.136066,33
-29.992603,4.515258,6.5528,5.552064,4.1426053,7.4286213,-7.445976,-0.6984689,8.37078,-20.083523,34
-29.93436,3.0257788,6.6828685,4.9064517,1.0115814,1.1453142,-7.8350577,16.998829,8.099407,-19.05223,35
-29.686209,2.4187405,7.1812434,5.374371,1.9123852,0.6528623,-7.988409,21.677797,6.1124854,-20.25447,36
-24.552273,6.582602,5.867132,7.4752917,-2.4097447,-1.9408426,-2.6110895,7.577642,17.399065,-19.948338,37
-30.364946,4.4448876,6.1281796,6.853298,-0.57170564,1.2469946,-4.7153997,6.918383,8.699295,-19.770645,38
-28.51019,4.3604918,6.0976706,7.599128,1.4701085,1.345808,-4.980083,8.447203,9.911489,-19.805252,39
-12.808878,3.5878959,5.4623227,8.376228,-10.216213,1.5867954,-5.177069,7.281773,-8.026754,-17.558056,40
-9.7401905,5.4600306,6.3085494,6.6390533,-13.150775,2.9003751,3.4105425,-5.7867827,-12.25021,-17.861122,41
-9.238651,-5.889117,5.0730786,9.395151,-18.165781,1.7431052,-15.481717,14.7715225,-10.884624,-19.464561,42
