,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.25,1.25,0.75,0.25,0.5,3.2,0.25,0.5,0.0,0.0,0.013640259983608048
1,0.0,1.0,0.25,0.25,0.0,4.0,0.0,0.25,0.0,1.0,0.4890566279812616
2,0.25,0.25,0.0,1.25,0.0,4.2,1.0,0.75,0.25,0.0,0.09537704821961628
3,0.0,0.25,0.25,0.0,0.75,2.2,0.5,0.0,0.25,0.75,0.5616806053494858
4,1.25,0.25,0.25,0.0,0.0,1.0,0.75,0.5,0.5,0.0,0.004473440911654948
5,0.0,1.25,0.0,0.25,0.0,3.2,0.5,0.75,0.75,0.0,0.07681103046750908
6,0.0,0.25,0.25,0.5,0.25,3.4000000000000004,0.25,0.25,0.5,0.75,0.20852993621667767
7,0.5,0.5,0.25,0.0,0.0,4.0,0.0,0.0,0.25,1.75,0.14514014224882588
8,0.0,0.25,0.0,0.0,0.0,1.8,0.0,1.0,1.25,1.0,0.004817177195191773
9,1.75,0.75,0.25,0.0,0.25,3.6,0.25,0.0,0.25,0.5,0.003948343274068336
10,0.25,0.0,0.25,0.75,0.75,1.4,0.0,0.5,0.75,0.0,0.04105432959943351
11,0.75,0.0,0.25,0.25,0.5,2.0,0.25,0.25,0.5,0.75,0.07623779156540839
12,0.0,0.5,0.5,1.0,0.25,2.6,0.5,0.75,0.25,0.0,0.009808353153811148
13,0.0,0.5,1.5,0.0,0.25,2.6,0.25,0.5,0.25,0.0,0.0006385237905992963
14,0.0,0.0,0.0,0.5,1.0,4.0,0.5,0.25,1.25,0.25,0.1154224702766208
15,0.0,0.5,0.25,1.0,0.5,2.6,0.0,1.0,0.75,0.0,0.01901511049328677
16,0.0,0.0,1.25,0.25,0.5,3.2,0.25,0.25,0.0,0.75,0.014448058865455499
17,0.5,0.0,0.0,0.0,1.25,1.6,0.5,0.0,0.75,0.25,0.12053249857191833
18,0.0,1.0,0.0,1.0,0.75,2.4000000000000004,0.5,0.0,0.0,0.5,8.530610665704287
19,0.25,0.25,0.0,0.0,0.25,1.2,1.25,1.25,0.25,0.25,0.0014361914150468585
