,0,0.1,0.1778279410038923,0.31622776601683794,0.5623413251903491,1.0
0,0.4671266324023703,0.4671266324023703,0.4671266324023703,0.4671266324023703,0.4671266324023703,0.4671266324023703
1,0.4671266324023703,0.4671266324023703,0.4671266324023703,0.4671266324023703,0.4671266324023703,0.4671266324023703
2,0.4671266324023703,0.4671266324023703,0.4671266324023703,0.4671266324023703,0.4671266324023703,0.4671266324023703
3,0.4671266324023703,0.4671266324023703,0.4671266324023703,0.4671266324023703,0.4671266324023703,0.4671266324023703
4,0.4500026355746243,0.4500026355746243,0.4500026355746243,0.4500026355746243,0.4500026355746243,0.4500026355746243
5,0.4511261429207953,0.4511261429207953,0.4511261429207953,0.4511261429207953,0.4511261429207953,0.4511261429207953
6,0.4579423904203965,0.4579423904203965,0.4579423904203965,0.4579423904203965,0.4579423904203965,0.4579423904203965
7,0.2927443701628168,0.1570994834592684,0.1353283244748208,0.1353283244748208,0.0784104078862197,0.0594896034446987
8,0.0664110532663923,0.066407337696902,0.0666903869657984,0.0666903869657984,0.0672186170673293,0.0271767716762883
9,0.0279936242680278,0.0239913892298015,0.0242760823645707,0.0242760823645707,0.0245189037801656,0.0158309203291795
10,0.0246150987526724,0.0208349922249424,0.0210182857712654,0.0210182857712654,0.0209447147745322,0.0166250777202525
11,0.0257171918340803,0.021886320822176,0.0220251496208003,0.0220251496208003,0.0224360179710084,0.0171034871205104
12,0.0196226970609817,0.0082875201420142,0.0078620163954803,0.0078620163954803,0.0079129358843809,0.0171034871205104
13,0.02001329597683,0.0069437335978742,0.0068836093563973,0.0067843469433201,0.0068271301170651,0.0159657386849736
14,0.0065183910228112,0.0065132699833876,0.006464295811412,0.0063836525132588,0.0069400923372824,0.0071429094955276
15,0.002509793199032,0.002427248407874,0.0024354729917312,0.0024210803912995,0.002452849862107,0.0034908862670695
16,0.0017347182712201,0.0016242016966935,0.001635095161307,0.0016419499278684,0.0016464247110638,0.0035338212712561
17,0.0016314585103925,0.0016315445001834,0.001637076352452,0.0016422689193563,0.0016430526717578,0.0014437955883037
18,0.0004393782324519,0.0004376663325327,0.0004378852580021,0.0004416542465845,0.0004149953739734,0.0005974053577381
19,0.0002860582644681,0.0002843448094205,0.0002845539836012,0.0002859420752597,0.0002329163309247,0.0004579673991621
20,0.0002821401460386,0.0002807811233748,0.0002809405432081,0.000282195091489,0.0002249855963986,0.0003533156240765
21,0.0001743003439398,0.0001729560513487,0.0001725183058853,0.000173477524646,0.0001738306743447,0.000344671827481
22,0.0001705488783785,0.0001694927657593,0.0001691603366015,0.0001684278387268,0.0001688488269543,0.0003446145282035
23,0.0001709206927502,0.0001700047150433,0.0001689269134962,0.0001682307792378,0.0001686702988404,0.0001823207750971
24,0.0001677688910862,0.0001700796396127,0.0001690098719319,0.0001683161218831,0.0001686027912222,0.0001823207750971
25,3.792615073346704e-05,5.811211717142678e-05,5.87444252992887e-05,5.7743858042433125e-05,5.842602151313237e-05,0.0001439046124294
26,3.753271824627997e-05,5.8210730146134986e-05,5.977210721866618e-05,5.7353701012856085e-05,5.483600684015497e-05,7.397394973045218e-05
27,3.753271824627997e-05,5.8210730146134986e-05,5.977210721866618e-05,5.7353701012856085e-05,5.483600684015497e-05,5.311705772916107e-05
28,3.753271824627997e-05,5.8210730146134986e-05,5.8351903852624064e-05,5.566925407687479e-05,2.765724675718875e-05,5.311705772916107e-05
29,3.773538194418599e-05,4.9672338619140826e-05,4.991663924860128e-05,4.644744684740932e-05,2.7708329130955308e-05,5.349264483832028e-05
