,Weak_Good
0,83289.5250024957
1,2071.2762993154297
2,2071.2762993154297
3,2071.2762993154297
4,2071.2762993154297
5,2071.2762993154297
6,2071.2762993154297
7,2071.2762993154297
8,2034.4914429293
9,2033.7354411758183
10,949.3824531787908
11,929.8148526933268
12,929.8148526933268
13,929.8148526933268
14,929.8148526933268
15,929.8148526933268
16,929.8148526933268
17,859.3465380751113
18,859.3465380751113
19,830.5688012100281
20,830.5688012100281
21,827.2989073434899
22,827.2989073434899
23,809.5487360173036
24,808.4176473188961
25,808.4176473188961
26,784.4461008164484
27,783.2695265201419
28,783.2695265201419
29,776.0423836596096
30,760.9913280654894
31,759.5840926061242
32,759.5840926061242
33,759.2089780914873
34,758.4395423378335
35,756.7612407920946
36,756.1282547008234
37,756.1282547008234
38,751.0121195905226
39,749.5869216868971
40,749.5869216868971
41,747.221932724646
42,747.221932724646
43,734.916788975185
44,717.853320694433
45,707.4554313797335
46,696.7816959290046
47,691.723480823309
48,685.0961008010564
49,672.7185182070427
50,661.9518722038007
51,660.8809705762624
52,657.492121074252
53,640.4514344393879
54,633.379513223096
55,633.266707413241
56,631.3825688725462
57,627.9143101721822
58,627.9143101721822
59,624.8969838813186
60,618.4700331263365
61,610.6409888919525
62,594.5591234983272
63,572.8863157423687
64,553.1911353267154
65,537.720561622305
66,533.014713099706
67,533.014713099706
68,529.0150936369931
69,529.0150936369931
70,524.1224392630315
71,522.6797634131457
72,517.9599074362543
73,504.4228249843237
74,497.27304278410696
75,496.3646799382461
76,485.3358223249422
77,485.3358223249422
78,476.2516334270948
79,456.9722921230088
80,453.3814703199337
81,453.3814703199337
82,443.4905260698289
83,442.20485582217736
84,440.5817020034042
85,440.563042474389
86,439.0606918241539
87,439.0606918241539
88,433.8866135177561
89,433.8866135177561
90,433.0374954681536
91,428.406524166681
92,424.65860526745297
93,416.5921344370352
94,415.99481050731583
95,415.4997894171606
96,415.0683119480118
97,410.28828911737816
98,410.28828911737816
99,315.6590020871882
100,250.5948792494271
101,208.1821202653018
102,184.6804608322317
103,178.6464032200169
104,178.6464032200169
