,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.24071468,1.0211588,0,0.2600006,0,1.96,0.75911057,0.49360955,0,0,0.472544096
1,0,1.7571295,0.4602882,0,0.21024476,1.28,0,0,0.72841126,0.25910398,0.176207834
2,0,0.75436956,0.21013159,0,0.22025666,1.24,0.2872305,0,1.2443683,0.24913824,0.270064197
3,0.7422041,0.24839048,0,0.26896632,0.72083837,4.645,0.99504966,0.24176782,0,0,0.175751853
4,0.51151943,0.2483896,1.0106329,0,0.5005827,1.795,0.5026536,0.28206247,0.28327066,0,0.153308244
5,0.23068467,0.2483896,0.7504698,0.78896666,0,3.68,0.24619853,0.49360955,0.9813317,0,0.159387117
6,0.2507447,1.2603495,0.24015106,0.26896632,0.73085123,4.285,0,0,0.22256933,0.23917247,0.78392879
7,0.2507447,0.48758024,0,0.2868978,0.9811426,2.26,0,0.50368345,0.26303658,0.75737953,0.316703804
8,0.28083476,0.2299908,0.23014458,0,1.4917362,0.99,0,0.49360955,0,0.7474147,0.151358614
9,0.2507447,0.48758024,0,1.0041403,1.2214221,1.395,0,0.25184172,0.47549078,0,0.191682251
10,0.4914594,0.4967801,0.5003132,0.4931048,0.75087404,1.93,0,0.25184172,0.50584096,0,0.263623831
11,0.5115185,0.23918976,0,1.5151757,0.23026949,3.165,0.23594005,0.7454522,0,0.48830977,0.448358958
12,0.99294883,0.2483896,0.74046427,0.51103544,0,4.4,0.48213762,0.554052,0.25292048,0,0.156058693
13,0.24071468,0.22079095,0.7604763,0,0.24027947,2.2,0.74885213,0.49360955,0.23268639,0,0.166688291
14,0,0.48758024,0,0,0,4.94,0,0,0,0,2.744416275
15,0,0.4967801,0,0,0,4.975,0,0,0,0,2.712016034
16,0.24071565,1.00276,0,0.26896632,0,1.96,0.7385927,0.49360955,0,0,0.42426413
17,0,1.72953,0.4903067,0,0.2703151,1.39,0,0,0.72841126,0.24913824,0.181907784
18,0,0.76356936,0.22013807,0,0.22025666,1.39,0.24619755,0,1.2544854,0.24913824,0.299041963
19,0.7422041,0.23918976,0,0.25103486,0.7708978,4.76,1.0053082,0.25184172,0,0,0.225696371
20,0.4914594,0.2483896,0.9806134,0,0.470548,2,0.4923961,0.25184172,0.25292048,0,0.160040912
21,0.27080473,0.24839048,0.7304568,0.7531054,0,3.795,0.24619755,0.48353565,0.9813317,0,0.151581818
22,0.26077473,1.2511497,0.22013807,0.26896632,0.74086213,4.375,0,0,0.25292048,0.24913824,1.020435539
23,0.26077473,0.4783804,0,0.25103486,0.97113067,2.4,0,0.48353565,0.23268639,0.72748417,0.330874485
24,0.2507447,0.2299908,0.24015011,0,1.5217718,0.995,0,0.50368345,0,0.7474147,0.149466224
25,0.24071468,0.48758113,0,1.0041403,1.2614677,1.39,0,0.24176878,0.48560783,0,0.208638067
26,0.5014894,0.48758024,0.4903067,0.5110363,0.7408631,2.01,0,0.24176782,0.4957239,0,0.329486788
27,0.4914594,0.2483896,0,1.5062099,0.25029135,3.215,0.25645602,0.7655991,0,0.48831168,0.510935227
28,0,0.2483896,0,0,0,3.795,0,0,0.2428044,4.2453156,2.614264814
29,0.27080378,1.2327508,0,0,0.50058365,3.375,0,1.994587,0,0,1.290683342
30,0,0.48758113,0,0,0,4.995,0,0,0,0,3.243890028
31,0,0.4783804,0,0,0,4.995,0,0,0,0,2.988685172
32,0,0.27599,0,4.2586317,0,4.98,0,0,0,0,1.948774945
33,0.24071468,0.73597074,0.23014362,0,0.26030323,5,0,0,0,0,1.167144179
34,0,0.28518897,3.7523491,0.4931048,0,5.02,0,0,0,0,0
35,0,0.2483896,0,1.5062108,0.22025666,5.005,0,0.7454513,0.47549078,0.7573805,0.203083544
36,0.24071468,0.25759032,0,0,0.9611188,4.99,0.4923951,0.7555252,0,0.72748417,0.167043319
37,0,2.4839013,0,1.2462102,0,4.995,0,0,0,0,4.874229131
38,0,0.2299908,0,0,4.495232,4.985,0,0,0,0,0.842460414
39,4.513405,0.23919064,0,0,0,5,0,0,0,0,0.611415902
40,0.26077473,0.23919064,2.5115726,0.7441396,0,5.065,0.5026536,0,0,0,0
41,0,0.48758024,0.48030022,0,0.23026854,5.05,0.24619755,0,0,0,1.516076179
42,0,0.23919064,4.2626686,0,0,4.99,0,0,0,0,0
43,0,0.47838128,0,3.9986293,0,4.98,0,0,0,0,2.814925956
44,0.24071468,0.48758024,0,0.7531054,1.2314329,4.97,0,0,0.23268734,0,1.000388994
45,0,0.2299908,0,0,0,4.97,4.246912,0,0,0,1.658719934
46,0,0.4783804,0,0,0,5.01,0,0,0,0,3.086023316
47,0,0.48758024,0,0,0,4.97,0,0,0,0,3.090701557
48,0.5014894,0.47838128,0.49030766,0.25103486,0.23026758,4.985,0.48213762,0,0,0,0.882000191
49,0,4.72861,0,0,0,4.985,0,0,0,0,5.123514471
