Unnamed: 0,0,0.1,0.1778279410038923,0.31622776601683794,0.5623413251903491,1.0,Function,Hypotheses
0,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,Ackley_d5,Good
1,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,Ackley_d5,Good
2,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,Ackley_d5,Good
3,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,Ackley_d5,Good
4,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,3.636650311272666,Ackley_d5,Good
5,3.3670603862971347,3.3670603862971347,3.3670603862971347,3.3670603862971347,3.3670603862971347,3.3670603862971347,Ackley_d5,Good
6,3.3670603862971347,3.3670603862971347,3.3670603862971347,3.3670603862971347,3.3670603862971347,3.3670603862971347,Ackley_d5,Good
7,3.3670603862971347,3.3670603862971347,3.3670603862971347,3.3670603862971347,3.3670603862971347,3.3670603862971347,Ackley_d5,Good
8,3.363091291142692,3.363091291142692,3.363091291142692,3.3431413856395182,3.3431413856395182,3.3431413856395182,Ackley_d5,Good
9,3.188528215413832,3.056525795521677,3.0058295034252325,3.0253472217627904,3.0253472217627904,3.0253472217627904,Ackley_d5,Good
10,3.1849728831761763,2.869858869977395,2.96754154227344,2.9870592606109976,2.9870592606109976,2.9870592606109976,Ackley_d5,Good
11,3.1849728831761763,2.869858869977395,2.96754154227344,2.9870592606109976,2.9870592606109976,2.9870592606109976,Ackley_d5,Good
12,3.179459821259957,2.8643458080611754,2.96754154227344,2.9870592606109976,2.9870592606109976,2.9870592606109976,Ackley_d5,Good
13,3.179459821259957,2.8643458080611754,2.96754154227344,2.9870592606109976,2.9870592606109976,2.9870592606109976,Ackley_d5,Good
14,3.069777203723357,2.796330436911144,2.9334289018730315,2.984366442691533,2.984366442691533,2.984366442691533,Ackley_d5,Good
15,3.069777203723357,2.796330436911144,2.9334289018730315,2.906193145558037,2.906193145558037,2.906193145558037,Ackley_d5,Good
16,2.7658343490918744,2.7485820975814,2.8808927682165164,2.8620435857172826,2.8620435857172826,2.8620435857172826,Ackley_d5,Good
17,2.572568513034588,2.7392062193687226,2.871516890003839,2.8620435857172826,2.8620435857172826,2.8620435857172826,Ackley_d5,Good
18,2.39182054425465,2.7173420397822703,2.816805474505476,2.748774537923249,2.748774537923249,2.748774537923249,Ackley_d5,Good
19,2.35746711386357,2.693579168469236,2.8112886780830664,2.7286496946401773,2.7286496946401773,2.7286496946401773,Ackley_d5,Good
20,2.263979159454017,2.693579168469236,2.8112886780830664,2.7286496946401773,2.7286496946401773,2.7286496946401773,Ackley_d5,Good
21,2.1806438412174702,2.646408560197325,2.809767652460462,2.727128669017573,2.727128669017573,2.727128669017573,Ackley_d5,Good
22,2.1806438412174702,2.646408560197325,2.809767652460462,2.727128669017573,2.727128669017573,2.727128669017573,Ackley_d5,Good
23,2.090248244353196,2.527658518238991,2.6774850037437856,2.6196382203617588,2.6185963234160616,2.6185963234160616,Ackley_d5,Good
24,2.080624870724348,2.520914646172656,2.59300512780071,2.512096713893038,2.511054816947341,2.511054816947341,Ackley_d5,Good
25,2.080624870724348,2.520914646172656,2.59300512780071,2.512096713893038,2.511054816947341,2.511054816947341,Ackley_d5,Good
26,2.080624870724348,2.520914646172656,2.59300512780071,2.512096713893038,2.5018749887651666,2.5018749887651666,Ackley_d5,Good
27,2.080624870724348,2.520914646172656,2.59300512780071,2.512096713893038,2.4422207716786413,2.4381000126899086,Ackley_d5,Good
28,2.080624870724348,2.520914646172656,2.59300512780071,2.512096713893038,2.4422207716786413,2.4381000126899086,Ackley_d5,Good
29,2.080624870724348,2.500642388697707,2.5875327051378494,2.497501814428284,2.4422207716786413,2.4381000126899086,Ackley_d5,Good
30,2.080624870724348,2.496521668071889,2.583411984512032,2.493381093802465,2.4381000510528232,2.4381000126899086,Ackley_d5,Good
31,2.080624870724348,2.496521668071889,2.467622466495955,2.433726769675938,2.4381000510528232,2.4381000126899086,Ackley_d5,Good
32,2.080624870724348,2.493168851897283,2.467622466495955,2.433726769675938,2.4381000510528232,2.4381000126899086,Ackley_d5,Good
33,2.080624870724348,2.493168851897283,2.467622466495955,2.433726769675938,2.4381000510528232,2.4381000126899086,Ackley_d5,Good
34,2.027399048257157,2.4763384683144665,2.4495026934848854,2.4143834370624635,2.3572221291087074,2.353869338392703,Ackley_d5,Good
35,2.012901560965311,2.4763384683144665,2.4495026934848854,2.4143834370624635,2.3572221291087074,2.353869338392703,Ackley_d5,Good
36,1.9830767577698625,2.4553925692920897,2.4495026934848854,2.4143834370624635,2.3572221291087074,2.353869338392703,Ackley_d5,Good
37,1.9537646094825407,2.4553925692920897,2.437645926127089,2.3638079846034485,2.3538693006984897,2.353869338392703,Ackley_d5,Good
38,1.9537646094825407,2.4553925692920897,2.4120674169176604,2.3638079846034485,2.3538693006984897,2.353869338392703,Ackley_d5,Good
39,1.9537646094825407,2.4553925692920897,2.3446254444781007,2.2674271001945163,2.304961410913031,2.3049614486072447,Ackley_d5,Good
40,1.9537646094825407,2.4553925692920897,2.3331755888767267,2.2559772445931427,2.2935115553116576,2.293511593005871,Ackley_d5,Good
41,1.9537646094825407,2.4553925692920897,2.3331755888767267,2.2559772445931427,2.2435360560637885,2.243536093758002,Ackley_d5,Good
42,1.9172094980095595,2.4553925692920897,2.325774998548548,2.248576654264964,2.2361354657356096,2.236135503429823,Ackley_d5,Good
43,1.879762886983324,2.4553925692920897,2.325774998548548,2.248576654264964,2.227224144867092,2.236135503429823,Ackley_d5,Good
44,1.879762886983324,2.4553925692920897,2.325774998548548,2.248576654264964,2.227224144867092,2.236135503429823,Ackley_d5,Good
45,1.879762886983324,2.424371367632294,2.325774998548548,2.248576654264964,2.227224144867092,2.236135503429823,Ackley_d5,Good
46,1.879762886983324,2.424371367632294,2.325774998548548,2.248576654264964,2.227224144867092,2.236135503429823,Ackley_d5,Good
47,1.8701553085068383,2.413775679700021,2.3151793106162746,2.151536512045216,2.130184002647342,2.139095361210075,Ackley_d5,Good
48,1.8265881691742256,2.3622393453182537,2.281574370347992,2.118417686361677,2.097065176963804,2.1083378006944367,Ackley_d5,Good
49,1.7992176884918425,2.283335305989439,2.281574370347992,2.118417686361677,2.097065176963804,2.1083378006944367,Ackley_d5,Good
50,1.7834156210805094,2.283335305989439,2.251572674179835,2.118417686361677,2.097065176963804,2.1083378006944367,Ackley_d5,Good
51,1.6575068121059602,2.283335305989439,2.251572674179835,2.072964135353084,2.0516116259552115,2.062884249685844,Ackley_d5,Good
52,1.6365592567497995,2.1809460628062385,2.17957450356781,2.009892830585032,2.025419702380049,2.0370858280058703,Ackley_d5,Good
53,1.6047029520046874,2.1809460628062385,2.17957450356781,2.009892830585032,2.025419702380049,2.0370858280058703,Ackley_d5,Good
54,1.6047029520046874,2.1809460628062385,2.17957450356781,2.009892830585032,2.025419702380049,2.0370858280058703,Ackley_d5,Good
0,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,Branin_d2,Good
1,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,Branin_d2,Good
2,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,Branin_d2,Good
3,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,Branin_d2,Good
4,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,Branin_d2,Good
5,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,1.3456429574935556,Branin_d2,Good
6,1.2223383607994556,1.2223383607994556,1.2223383607994556,1.2223383607994556,1.2223383607994556,1.2223383607994556,Branin_d2,Good
7,1.0328481811861194,0.9702751702743126,0.9491798360010296,0.9414623101088796,0.9205349822570148,0.9205349822570148,Branin_d2,Good
8,0.9716976570032456,0.9110967608427752,0.8822153805776358,0.8746086903447114,0.8522995568632377,0.8522995568632377,Branin_d2,Good
