x1,x2,x3,x4,x5,target,iteration
20.7523,-19.356407,-22.675076,-27.363434,-2.3137627,-21.721066,1
-1.3570976,32.492344,-21.282558,22.318104,-16.536253,-21.913647,2
-9.645889,8.2638855,-2.2261086,-12.383936,-11.272257,-18.947056,3
13.023132,-6.998543,-9.222927,-8.593132,28.258068,-20.496998,4
-31.80275,9.771515,12.635536,21.105267,29.561207,-21.571648,5
-4.569392,10.620525,2.3890183,-15.797018,-0.028129432,-18.492212,6
-14.069584,12.965203,8.399239,-23.570484,-0.46684995,-20.672215,7
3.2323933,17.814558,6.1557364,-13.5761175,2.8403473,-19.147408,8
7.2900205,9.008889,-0.05487947,-15.503326,6.1557493,-18.183273,9
19.850576,24.844604,1.4159061,17.108337,8.457244,-20.974762,10
4.751427,24.161383,0.08229915,-13.787446,20.632538,-20.627808,11
17.468758,7.1416974,12.117958,-14.240847,4.5210505,-20.026436,12
12.300115,6.0584345,-1.21755,-12.393204,1.7761968,-17.889496,13
5.615202,5.3557434,-26.549818,-11.222933,-3.4719,-20.823376,14
-9.904522,0.36540022,-1.8387011,-10.010471,3.7811482,-15.890821,15
-17.27665,-5.229394,-3.1510937,-6.9086514,5.1796675,-18.014214,16
-9.8927,3.3542411,-1.7014358,-8.264873,7.729219,-16.783833,17
-8.066465,-0.23107891,-2.3650086,-13.911513,3.773206,-16.908375,18
-9.098554,-1.3412863,2.9953105,-10.668863,4.8227615,-16.299034,19
-16.937996,4.4511905,-2.4064279,-11.016745,5.1111903,-18.584026,20
-2.7170184,-3.3545964,-1.6386542,-8.526726,1.8815726,-13.74117,21
-0.58405334,-8.282988,-1.7758849,-6.207365,0.61648256,-14.166662,22
-1.2563132,-1.1709529,-0.9332283,-6.7432284,-0.7968651,-10.7111025,23
-0.76310945,-0.35313913,1.4435627,-3.3526812,-3.090618,-8.980902,24
0.15534255,-0.80757445,2.9796822,-1.3384098,-4.7124434,-9.547919,25
0.20837064,1.5714977,6.6770177,-3.9552197,-4.519064,-13.071482,26
-0.56513715,-0.020823257,-0.9716477,0.4222067,-4.10842,-7.8701477,27
-2.7172189,-0.7807976,-0.9895522,4.8141203,-2.9847844,-9.835476,28
0.0110617615,-0.5616927,-2.5596743,-0.77340126,-6.987519,-11.43642,29
1.6967441,3.750092,-0.9183453,0.20843671,-2.524549,-8.874436,30
-8.617076,1.6673287,-1.0110807,-0.9860922,-3.6477842,-13.21862,31
3.2273583,0.9050993,1.0524272,4.2955813,-1.1757479,-9.159929,32
0.94210523,4.1033173,1.1484429,3.0839713,-6.238333,-11.204267,33
3.9942815,-1.3961904,-0.75558376,1.2060798,-3.2878034,-9.480814,34
-0.14368601,0.36468774,0.78942084,1.0246221,-1.0538566,-4.027707,35
-1.0857309,-0.3672404,-1.3336283,0.08564253,1.550572,-5.5819654,36
-1.0340981,-0.19727291,3.708222,1.3358722,4.115195,-9.5162115,37
-1.1163225,-0.34339878,30.952066,0.28056884,0.0062949504,-19.98748,38
-0.96448773,-0.4879196,-9.019497,0.5003341,0.4629633,-13.04526,39
-2.0531409,6.165567,-0.5417511,1.6189126,2.6155756,-11.404542,40
5.5777683,-32.768,-24.495218,5.086754,-17.652563,-21.624668,41
0.32680812,-2.1331954,0.097174905,0.08055209,-0.008146626,-4.449069,42
-0.39979294,2.3145034,-2.6613798,3.3245206,-15.219707,-17.256563,43
-1.3972375,-1.1860136,2.8839436,0.4393064,-0.038899377,-6.9433126,44
-3.465288,13.79543,9.041429,3.8430972,-16.741665,-19.227448,45
1.0648859,-5.2806797,-1.208519,2.318284,3.1385808,-10.51892,46
3.0914938,0.14562923,0.64035904,-1.842383,2.4546883,-8.148019,47
-0.8453701,-0.630693,-0.06320808,0.07439106,0.06854724,-2.8455725,48
-1.0979977,-0.6694377,-0.24667239,0.032389034,0.15262735,-3.4793406,49
-4.199707,-2.8962936,-1.3835061,0.015138769,0.85533553,-8.845876,50
-0.33561856,-0.12444873,-0.23447375,0.18901718,0.075738795,-2.1828604,51
-0.304342,-0.021573162,-0.3830564,0.25020263,0.14185587,-2.5945578,52
-0.22644034,0.036814984,-0.5362324,0.37950572,0.2088063,-3.0393476,53
3.0577755,-4.0351496,6.5671954,7.59795,7.7583113,-15.777946,54
-1.2147148,1.1323581,6.3633766,0.8508799,-10.009453,-14.442885,55
7.95336,6.0000854,9.039422,-1.204392,-13.159613,-16.899576,56
-0.19260456,0.06518236,-0.6391354,0.5103748,0.14127734,-3.1362352,57
8.682289,-2.6539414,1.9625406,3.3704283,-9.859303,-15.991553,58
-3.5432928,4.382892,11.085009,-0.5903232,7.9976254,-16.522583,59
5.2353373,-4.3075476,1.452417,-9.314493,-13.151636,-17.74057,60
2.6026146,-0.35335937,17.702042,10.85282,16.396898,-20.179306,61
7.982045,-5.2797337,15.085083,-4.1362214,-8.508093,-18.135426,62
-1.709246,-8.356917,4.5751033,-3.503051,9.109651,-16.19822,63
1.0802945,-0.5053338,-2.2436278,1.004143,-0.18895935,-5.7691584,64
-0.56504977,0.44549757,-0.1402354,0.008703216,0.051639628,-2.8351393,65
0.820764,-4.5484624,-11.418345,-2.1035411,-4.9980483,-15.633929,66
-6.726094,-2.303065,11.082391,-9.285516,16.094175,-18.887985,67
4.929303,-16.435965,8.500709,4.0769906,13.439147,-19.518272,68
3.0958056,-13.414797,-5.83608,0.46782145,-12.161041,-18.146866,69
1.7877293,9.549507,13.549205,5.0733423,-5.4002743,-18.078518,70
-8.208676,-14.687976,-0.32077083,-13.775698,11.64779,-19.696785,71
-10.816362,0.4668339,-13.720072,-2.3850074,-8.796912,-18.50423,72
-1.4020244,2.124891,0.8863734,-1.4031641,0.32532498,-6.6202917,73
-1.2220755,5.280564,16.652824,-10.78491,-12.341935,-19.545559,74
-8.0615835,12.821998,19.671597,-4.966639,9.927095,-19.22324,75
-19.112972,4.1355867,0.33914918,0.33646208,-7.9071603,-18.416061,76
4.726076,1.427373,8.750399,12.74306,-15.687029,-19.31712,77
4.727931,-32.768,3.114168,0.61808294,0.008876556,-20.478283,78
9.836587,-2.1942365,-11.3020525,-2.5363352,-15.439077,-19.104218,79
-0.2205864,-0.149988,-0.4020692,0.45221484,0.080205195,-2.8997145,80
9.929236,11.194504,-0.73481613,-26.621023,-3.4325323,-20.53175,81
-13.586488,9.575307,-7.874425,2.834091,-0.965498,-17.849209,82
-15.8666,2.0200675,11.612385,0.52225786,9.007836,-18.654633,83
4.183867,-3.4283886,16.476109,-5.7212496,9.184051,-18.727467,84
-9.356822,11.4699,1.0541393,5.4143243,-8.722339,-18.023602,85
-2.0129383,-7.5063825,-13.223453,-11.354353,-14.599195,-19.608906,86
18.110174,9.535342,-8.00196,-16.707897,10.090933,-19.958908,87
6.8975773,-7.337107,7.179305,22.472086,10.069994,-19.883453,88
-0.18813199,-0.17022768,-0.36280733,0.5122231,0.07862685,-2.8825483,89
-15.039404,-7.249575,-1.5771114,-9.703039,-7.197278,-18.544575,90
2.6279125,12.050234,0.7905402,-7.886312,-15.130033,-18.203224,91
-1.6553726,0.1545961,0.4109098,2.930211,1.2387419,-7.2141447,92
2.7502272,-8.203118,9.681364,-0.91016525,-20.131926,-19.053455,93
10.4045105,-1.9844755,4.4908957,0.49206775,0.3683045,-14.975568,94
18.465305,-4.5758734,3.5150795,-4.834624,-6.114208,-18.895802,95
11.917411,-5.217163,14.943377,8.264905,2.7095249,-18.435526,96
19.41652,-2.0632818,4.4013634,2.300979,8.10171,-18.903316,97
-0.098739065,-0.4604734,-0.44715032,-0.024695585,-0.036373757,-2.6614866,98
