x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,target,iteration
-3.0135458,9.962885,8.58243,4.9296923,-3.9313676,-3.5748463,-3.1988592,-4.403382,-4.9480166,4.546797,6.325507,-4.372154,8.353725,-0.48527098,-2279891.8,1
5.6050606,8.574578,-0.39492416,4.5570297,6.803938,-2.9206314,-0.35576248,6.5743313,2.0779047,4.1020327,3.444912,9.393296,5.33473,2.3400297,-1817795.6,2
-0.9121094,2.8913918,1.4113874,-4.3871107,-2.447947,5.415636,9.197903,0.53266954,7.7517157,1.400218,-0.103206635,-1.0754976,-3.0335307,3.5974789,-1159362.5,3
-3.7403164,-3.3574295,2.741589,-0.031352043,8.88439,7.087552,-1.427561,8.714936,-2.2848492,4.1539545,-2.3025234,0.32898283,8.399319,9.966298,-1865570.9,4
-1.2068651,-4.637763,-4.758847,5.639575,-0.8138075,4.9838495,-3.8806634,3.6333961,-4.2238054,6.514105,-0.47425127,7.9147825,-4.066205,-3.5528169,-1024298.1,5
-1.1986405,-2.9071014,-3.4595392,2.262107,-2.207607,5.636359,0.71893454,2.3019774,-0.08826388,4.890844,-0.6120259,5.2736416,-5.0,-1.9753278,-376088.56,6
-1.2735946,-3.3438628,-4.2585745,0.26494727,-4.539261,6.9567423,3.816267,1.0610095,2.6052175,4.1106052,-1.1757216,4.576598,-5.0,-2.6348712,-474457.72,7
-1.5032471,-3.4166694,0.73089576,1.9932423,-1.6772172,4.6703258,2.2699199,1.1781926,1.0364177,4.621407,-1.3744268,2.2302153,-5.0,2.3247173,-173141.4,8
-3.7922504,-3.6604655,2.745895,2.455136,2.0979705,5.26073,0.2904324,1.4894115,1.6721238,3.0866315,-2.4185352,5.236823,-5.0,5.279288,-281803.7,9
-2.0136855,-3.7079465,3.9278286,0.4583907,-0.68533844,3.218701,2.8099775,7.0178,0.70263845,5.4504523,-2.853293,-0.32857674,-5.0,5.9326587,-435149.44,10
4.716806,7.3879633,1.3643624,-5.0,6.288806,4.722091,6.9769716,-5.0,10.0,3.2778976,4.71194,-4.7791862,-5.0,7.049098,-1922476.8,11
-3.0753846,-1.6546592,2.4936173,3.9770668,-5.0,3.2512426,5.153177,-1.1037868,-0.19059643,1.6544596,-1.6381975,2.7819016,-5.0,1.5682998,-256583.92,12
-5.0,-3.373878,4.7596126,1.7204657,-5.0,5.148768,-2.3342452,-4.1036325,1.3555013,4.92172,-0.30721557,0.21637824,-5.0,-0.22718734,-418287.62,13
-3.6736875,-3.028379,-3.6951814,3.136175,-5.0,5.203118,6.543317,-3.8201573,0.37617636,4.7773213,-0.45725945,3.47753,-5.0,6.672259,-516418.72,14
4.3241105,-4.457431,1.8073312,3.3256328,-1.1137003,7.294935,2.464813,-0.13322498,0.71994174,0.6333501,-1.7953253,1.1926885,-5.0,-1.4804025,-441477.56,15
-2.4153478,-3.190898,3.1716943,3.639926,1.7000741,-0.9967699,5.27073,0.70983434,1.7037622,6.5665264,-1.9640417,1.3645041,-5.0,-1.6352913,-388291.8,16
-4.585713,-3.0232503,0.27113894,-1.4080312,-5.0,0.9810104,-3.9439826,1.6634641,0.8355141,1.0410072,-2.239311,4.3844995,-5.0,-5.0,-300587.47,17
-3.9431653,-3.3571558,1.155828,4.4192986,-5.0,10.0,4.4420614,5.7849154,1.2189115,3.5417871,0.82911474,6.1450377,-5.0,-5.0,-1456419.5,18
3.267007,1.180913,0.63664883,1.1841848,5.695815,2.8163972,-5.0,-1.0019202,1.558575,3.70823,-1.3744138,4.9733486,-5.0,-2.3789988,-370607.88,19
-5.0,-5.0,-3.5260277,3.1340604,-1.9095664,2.6125607,-4.1719036,4.006695,1.5773524,1.7852215,-1.3795506,-0.6235425,-5.0,0.34744468,-311533.22,20
1.6421279,-5.0,4.025242,-0.31795174,-2.8384545,3.238515,4.4785404,0.6458461,1.3253351,7.478803,-4.0511675,-2.3363597,-5.0,-3.2347324,-610851.2,21
-2.639806,-5.0,6.9105654,-4.56041,-1.1679963,2.8895795,2.2703564,0.17994355,0.97189623,5.060226,-1.430541,5.8615828,-5.0,0.4109887,-667308.5,22
-2.4437256,-3.3047287,7.088448,1.1546301,-3.084407,2.1650584,1.2515765,-0.025219277,-0.2303414,-0.004156026,-1.6252177,4.554146,-5.0,3.9209685,-371326.0,23
-4.3344936,-0.6589241,-0.29018688,1.6536839,-2.7161596,2.9482386,0.8327096,-2.542033,1.158404,7.5598745,-1.8916842,4.828523,-5.0,-4.6780186,-574136.7,24
-2.443885,-3.864014,-5.0,1.1409802,-1.5574516,2.3977032,3.3598704,2.2716706,-4.3928113,3.0778263,-2.4681888,10.0,-5.0,0.66070706,-1329051.6,25
-1.6024662,-2.8312666,-3.4453611,3.462629,3.1759026,3.002948,-5.0,2.8216994,1.6967326,1.1707362,-3.7620387,2.852075,-5.0,1.3283345,-197810.31,26
-4.398608,-1.8174405,0.35037318,2.5634303,-1.4623576,2.9516776,-5.0,2.2094426,1.1949811,3.1977935,-1.3898826,2.4383833,-5.0,1.4432155,-206327.56,27
2.7366273,-2.5424044,9.580202,4.9315104,-5.0,4.273187,-2.105322,3.2386653,1.5778916,-0.44883218,-0.065201215,2.5249374,-5.0,-5.0,-1048442.25,28
-1.543773,-2.2914798,-3.082899,1.4061205,1.3985513,3.7800846,-4.5066547,0.34765854,0.45515138,2.414752,-2.0065193,0.8636501,-4.884941,5.631911,-135398.5,29
-5.0,-5.0,-4.3727565,2.1964424,-5.0,2.658005,1.7355307,0.9634394,0.8177508,2.933395,-2.4424317,-1.273591,-4.915144,-1.2817025,-354898.8,30
-1.191659,-5.0,-0.41033593,1.1872089,2.400635,2.9011161,-3.536929,1.3368409,1.0196636,-0.07313166,-2.1115057,2.305335,-5.0,5.6175957,-145902.25,31
-0.12047091,-5.0,-1.6731528,2.8021758,-2.8694642,3.164762,-5.0,2.1817918,0.88801426,3.792821,-2.2567315,2.3947492,-4.476443,10.0,-213824.97,32
-1.5405651,-2.8176043,-1.0379323,1.6699247,10.0,3.8277507,-5.0,1.5567771,0.6500431,2.7353687,-2.1237905,1.8034272,-5.0,1.1548193,-1109155.5,33
-1.2865795,-2.6484787,-5.0,-1.1669828,-0.70640576,3.8925242,-2.3526795,-3.2295961,-0.205971,0.70928335,-2.4579475,3.215884,-5.0,-5.0,-251384.0,34
-0.82435817,-0.12601091,-2.0797617,2.3787277,-0.1761874,3.0791934,-1.1850364,0.62309545,1.6825502,1.1402726,-2.3517377,2.9176657,-5.0,-2.2804663,-111884.43,35
-2.0126376,-4.64386,-3.2169924,-0.0026197236,-0.9280961,3.2574284,-1.4433126,1.7046965,-0.12233317,1.1274937,-2.7159052,2.2981703,-5.0,4.4489036,-153039.72,36
0.067301445,-5.0,-1.7850877,2.8252046,0.8465159,4.0163245,-4.9849024,0.108618975,1.363669,2.6458104,-2.204637,3.023268,-5.0,3.4832816,-261732.53,37
-1.5623381,-2.4185991,-0.25482413,-1.1840382,-0.31428286,2.6212382,-1.0656011,1.0818415,1.2873487,-3.177465,-2.391071,2.4319196,-4.5881224,9.241654,-57556.586,38
-0.8236084,-1.6404327,-2.521218,-1.0996525,0.3904353,3.0602722,-5.0,2.0316114,0.63303596,-1.1991436,-1.9881915,2.93466,-5.0,3.134195,-152334.86,39
-3.3818126,-3.035005,1.6242281,2.6734817,-0.7149582,2.8959997,4.2233973,-0.03370422,1.2631866,-1.2509937,-3.2709165,1.6472625,-4.44606,7.4432907,-99045.72,40
-2.036604,-2.1942203,-1.6421391,1.0212989,-0.43372124,3.3356085,5.6678987,0.9581282,0.6751334,-0.65205526,-2.1551673,2.2349164,-2.8797534,1.1922299,-122500.97,41
