x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,target,model_name,level,iteration
1.7805183,0.05490447,1.806275,1.0772609,1.4624429,1.8093579,0.6739106,0.06948378,1.2668048,0.04027164,1.8614967,1.1214305,0.33829418,1.1983271,-3991.4246,Good,Local,1
4.1439967,3.2634892,4.2352037,3.4864345,4.6113195,4.092145,2.9652035,3.8140583,3.9381008,4.5992355,4.428955,3.104991,3.1094375,4.423607,-186502.78,Weak,Local,2
8.494802,8.978169,9.155739,9.877133,9.432497,9.51446,8.637888,8.3522,9.294283,9.939647,9.774358,8.963279,9.606029,9.538127,-7651930.5,Poor,Local,3
6.364398,1.385149,8.009814,-4.687722,7.142564,3.283556,7.477356,7.6258774,7.016859,-0.3726549,0.12778902,9.9638815,-0.59367657,-4.6839557,-2632640.2,Global,Global,4
-3.3950295,5.0452337,7.7743664,9.06869,7.3579674,0.75600576,5.6240997,-4.1540813,7.638151,3.73147,3.927907,0.42002678,-2.2675173,2.6487617,-1617222.1,Global,Global,5
0.15369286,0.3089988,0.6817392,1.055252,0.75606817,1.1329137,1.2907263,0.5730319,1.8151133,1.8970808,1.6990308,1.0399752,0.2652886,1.1134199,-1539.0398,Good,Local,6
1.106132,1.7959127,0.32703307,0.39836258,1.5350595,1.4453032,1.2495866,1.1375365,1.5770336,1.054448,0.4995757,1.304535,0.020278106,0.031977337,-1890.6621,Good,Local,7
0.3949718,0.83800536,0.4975575,0.82538295,0.9864391,1.2046959,1.3102592,0.79554796,1.7626058,1.7061374,1.2741709,1.1274518,0.17616886,0.7330419,-973.8113,Good,Local,8
0.9515628,1.3762941,0.3911857,0.8878235,1.1952379,1.1462402,1.408108,1.0248208,1.8736954,1.7435622,1.4832377,1.1063184,0.26177612,0.3854751,-1266.7958,Good,Local,9
0.18402837,0.8593849,0.1499428,0.63976747,0.91335505,1.0382991,1.431459,1.0307393,1.8367642,1.9283981,0.8982814,1.1377484,0.044617195,0.78364426,-1583.4917,Good,Local,10
1.151746,0.3790285,4.1625214,-0.08845835,4.964755,2.7841926,1.0287825,4.520172,2.6323776,5.1431656,0.16872032,1.2831279,-0.26728493,5.921002,-193108.56,Global,Global,11
4.149943,-2.6661005,1.8376375,0.53195703,1.0091054,1.7888634,2.9877825,1.7594366,3.0033078,-0.82096374,1.902181,3.7071836,1.215562,3.1739814,-74258.28,Global,Global,12
0.11422434,3.5605822,0.39570463,4.3937597,2.0147347,4.04024,2.0917816,0.62311834,1.9122028,2.1616848,0.38971704,2.3796222,2.6066184,4.421151,-74018.43,Global,Global,13
1.4698681,2.4408712,3.080739,-1.8854245,1.7648259,4.1365285,1.5147513,1.1712571,3.6109157,3.2573357,4.8873844,2.0254402,1.6445978,0.33044815,-101009.36,Global,Global,14
4.1295123,1.5401702,5.6374683,7.5281677,4.8578014,-0.34858793,1.8379391,4.7835317,0.3245034,3.7646046,4.746061,2.8302615,1.7835314,-2.0465827,-516912.7,Global,Global,15
0.007495633,1.3516997,0.54120934,0.85986483,0.9981846,1.4107769,1.2979195,0.6664349,1.7051079,1.8178996,1.2819014,1.2133358,0.2553267,0.2222417,-1415.1404,Good,Local,16
1.1363138,0.899449,0.7445999,0.66681504,1.0724367,1.2657018,1.3530505,0.77718616,1.8043321,1.3135121,1.2308359,1.1530465,0.15837319,1.0369079,-975.2927,Good,Local,17
1.6979195,-1.0052379,0.23049964,3.6444652,5.048945,2.7235954,1.7006055,2.399798,3.7060916,1.41624,3.555575,1.900505,1.4154549,2.0383024,-92680.125,Global,Global,18
2.427691,2.9966555,2.9212787,-0.15188462,3.4412696,0.6670397,2.5351174,1.3957323,1.3040025,2.034,3.2691038,2.6301978,1.8086401,5.851598,-38604.29,Global,Global,19
4.1522627,1.3500172,3.4926126,3.554411,1.5798011,2.9511209,2.1081042,2.471146,2.8973296,2.7776568,1.2885113,1.776821,1.0841749,2.6348312,-58987.523,Global,Global,20
