x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,target,model_name,level,iteration
0.79809296,1.0333583,0.04986077,1.8801588,1.8917083,1.5934625,0.83002824,1.6405139,0.45808676,1.819175,0.23667337,0.15044479,0.818442,1.9201349,-3446.6833,Good,Local,1
4.7444825,4.381939,3.738082,3.4599998,3.468959,3.556549,4.3279686,4.0809717,3.020523,3.5187063,3.210982,3.87497,4.0185103,3.718585,-172558.84,Weak,Local,2
8.038898,9.546694,9.730097,9.619382,9.333122,8.730505,8.72739,9.136135,8.527298,9.456253,8.040929,9.561914,8.276826,9.796228,-6865470.5,Poor,Local,3
6.8105164,-2.98391,-1.7156012,7.289406,5.4534655,5.956478,-1.5086799,8.542443,0.8499675,4.2655706,2.5181284,-1.5056584,8.477041,2.3416271,-1721127.0,Global,Global,4
5.727968,5.4531393,0.41850233,1.9887533,7.016653,-1.4020813,-3.6550868,8.489472,3.7669668,8.230227,-4.4378896,2.344438,-4.0632033,4.124652,-1469861.9,Global,Global,5
0.51698464,1.8684689,1.0784217,1.1998396,0.7699825,0.7560556,1.3772191,1.7521113,0.073550805,1.3281211,1.9425536,1.1996713,1.065102,1.8916097,-2766.6519,Good,Local,6
0.5153566,1.650701,1.0603338,1.1542583,0.753724,0.65042484,1.3726853,1.7496368,0.0019225464,1.3311719,0.8403016,1.5829288,1.0564013,1.8915823,-2145.2012,Good,Local,7
0.22072306,0.45060024,1.6587682,0.15666883,0.39901873,1.8894415,1.9688572,1.8093666,0.22992949,0.8078099,0.7459386,0.33540672,0.68835306,1.8720971,-3122.3813,Good,Local,8
0.5078398,1.6942259,1.1076866,1.1146121,0.6470756,0.41461208,1.3754435,1.7553562,0.0,1.3162392,0.38973087,1.994915,1.1016482,1.8902383,-3221.5715,Good,Local,9
3.0131724,1.4819024,2.611415,0.7458201,1.9787598,2.2270005,1.7505727,4.705746,1.6889297,2.6243942,0.21632096,1.6117091,1.2972931,2.6988974,-58106.52,Global,Global,10
1.7567298,5.7008243,2.977929,1.119488,2.683254,3.0158515,6.6056957,-2.5848243,3.1970615,1.5840915,-0.42305344,2.741026,-0.5027677,2.7714546,-327384.06,Global,Global,11
-3.2896843,0.6520381,1.805831,3.6246834,0.5093691,2.4359694,2.1427004,1.0227991,-0.054293968,1.3287597,3.9335785,1.8763936,3.165302,3.5842314,-53132.332,Global,Global,12
3.098272,3.6204314,3.5744302,2.381744,4.3290014,3.2791688,4.953128,1.1457549,-2.4293742,2.3414896,4.797299,2.933198,-0.96643776,2.8835826,-158280.44,Global,Global,13
1.0390807,6.272853,2.1947253,-1.2049452,-0.7783402,3.0787153,0.35660985,1.1429946,4.7161393,4.570956,2.5916474,0.56184375,7.961057,2.8122075,-596362.94,Global,Global,14
0.52040976,1.4778408,1.0105245,1.1741134,0.841559,0.79288757,1.3748864,1.7431489,0.0,1.3415755,0.5229498,1.4707246,1.011175,1.8927207,-1994.0159,Good,Local,15
0.53163546,1.0541538,1.0520202,1.2537386,0.83085716,0.9980182,1.4889334,1.7226747,0.0,1.4144809,0.80260044,1.5089926,0.94338524,1.9048234,-1757.6418,Good,Local,16
0.5519506,0.68413043,0.8932178,0.8100455,0.72809106,0.95631444,1.3106369,1.7067367,0.0,1.600863,0.46230075,1.5210841,0.8850185,1.9096944,-2117.747,Good,Local,17
0.51159656,0.826046,1.0293568,1.6707287,1.0474483,1.1922243,1.6877472,1.7279053,0.0,1.2104329,0.6160007,1.5306184,0.9707001,1.9053098,-2045.7185,Good,Local,18
2.846258,1.0123186,0.12229981,1.5876179,1.958793,-0.053389605,5.4430103,2.6419587,2.712921,-1.4979115,2.6819434,0.29329947,-1.906602,3.058455,-97600.98,Global,Global,19
-4.4432855,1.2996894,3.164541,3.1246114,3.8453827,1.4081098,1.5888866,2.620148,3.3393345,0.22881438,2.4927804,2.7837076,-1.7734041,2.6549745,-84503.26,Global,Global,20
