,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.0,0.0,0.25,0.25,0.5,4.6,0.5,0.0,0.5,1.25,0.3796777804832774
1,0.25,0.25,0.25,0.0,0.0,2.6,0.75,1.0,0.0,1.25,0.031322093681709226
2,0.0,1.0,0.5,0.25,0.0,4.0,0.75,0.0,0.5,0.25,0.08491025617251334
3,0.0,0.75,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.06011026737927598
4,0.5,0.25,0.0,0.0,0.25,1.8,1.0,1.0,0.75,0.0,0.009785250929031635
5,0.0,0.75,0.75,0.5,0.0,4.2,0.25,0.0,1.0,0.0,0.016285288727448534
6,0.0,2.0,0.0,0.25,0.0,4.0,0.0,0.0,1.0,0.0,0.24738825605964185
7,0.25,0.0,0.0,0.5,0.0,3.8000000000000003,0.0,0.5,0.5,1.0,0.08358399151710408
8,0.25,1.0,0.5,0.25,1.5,3.4000000000000004,0.25,0.25,0.25,0.0,0.06279090182112872
9,0.5,0.0,1.0,1.25,0.0,4.6,1.25,0.0,0.0,0.0,0.0021274850292601084
10,0.75,0.25,1.5,0.0,0.0,1.6,0.5,0.25,0.0,0.25,0.0005778503969024462
11,0.0,0.25,0.5,0.25,0.25,3.6,0.5,1.25,0.0,0.25,0.0012645277469845036
12,0.0,0.25,0.0,1.75,0.5,3.4000000000000004,0.0,0.75,0.25,0.0,0.10706745845256589
13,0.75,0.5,0.0,0.75,0.25,4.800000000000001,0.5,0.0,0.0,0.5,0.17752093375955447
14,0.25,0.0,0.0,1.0,0.5,1.4,0.25,0.0,0.25,1.0,0.9505359634205104
15,0.25,0.0,0.0,2.0,0.75,1.8,0.5,0.0,0.25,0.0,0.7900633290416572
16,0.5,1.0,0.5,0.0,0.0,1.6,0.0,0.25,1.25,0.25,0.005361194811422868
17,0.0,0.75,1.0,0.5,0.25,3.8000000000000003,0.0,0.0,1.0,0.0,0.005948504372796188
18,0.0,0.0,0.5,0.5,0.0,1.6,1.25,0.0,0.75,0.75,0.008358476643811922
19,0.0,0.5,0.0,1.5,0.25,2.8,0.0,0.0,0.25,0.0,4.988497224429111
20,1.5,0.75,0.0,0.0,0.25,1.2,0.25,0.0,0.0,0.75,0.020502255418855225
21,0.0,0.5,0.0,0.0,0.25,2.4000000000000004,0.5,0.75,0.5,0.25,0.0953891740274669
22,0.0,0.25,0.0,0.0,0.0,3.8000000000000003,0.5,1.5,0.25,1.5,0.0013051170924753051
23,1.0,0.25,0.5,0.0,0.0,3.0,0.0,1.0,0.25,0.25,0.0028406563950665108
24,0.0,0.0,0.0,0.25,0.0,3.8000000000000003,0.25,0.25,0.0,0.0,0.6093191458304544
25,0.5,1.0,1.0,0.5,0.25,3.8000000000000003,0.25,0.25,0.0,0.25,0.032088706144463824
26,0.0,0.5,0.75,0.0,0.25,3.4000000000000004,0.25,1.0,0.0,0.25,0.0021086038763426956
27,0.25,0.0,0.0,1.0,0.0,1.2,1.0,0.5,0.25,0.75,0.044835576768038524
28,0.25,0.25,0.0,0.25,0.0,4.800000000000001,1.0,0.0,0.0,1.25,1.478216058712687
29,0.25,0.0,1.25,0.25,0.25,1.4,1.0,0.5,0.0,0.25,0.001187659683773678
30,0.0,0.0,0.0,0.0,0.5,1.8,0.75,0.75,1.5,0.0,0.0025223746114370663
31,0.25,0.25,0.0,0.25,0.0,4.800000000000001,1.25,0.75,0.75,0.0,0.023339201329542904
32,1.0,0.5,1.0,0.5,0.0,4.2,0.25,0.0,0.0,0.5,0.0320595040178929
33,0.25,0.0,0.25,0.0,0.0,1.0,0.0,0.5,1.5,0.0,0.004323819495994506
34,1.25,0.75,0.0,0.25,0.25,1.8,0.25,0.5,0.0,0.0,0.2982450263632392
35,0.25,0.0,1.25,0.5,0.25,3.8000000000000003,0.25,0.5,0.0,0.75,0.003483924907622178
36,0.25,0.75,0.0,0.5,0.5,3.0,0.5,0.5,0.25,0.0,0.2184057246654586
37,0.5,0.5,0.25,0.0,0.25,4.6,0.75,0.0,0.5,0.25,0.19729577508689464
38,0.0,0.25,0.25,0.5,1.0,3.2,0.25,0.5,0.25,0.0,0.05473382701985841
39,0.25,1.0,0.25,0.5,0.0,1.4,0.5,0.0,0.0,0.75,0.3550484874969534
40,1.25,0.0,0.25,0.25,0.0,1.2,1.0,0.0,0.0,1.25,0.003756684344604513
41,0.75,0.0,0.25,0.25,0.0,4.800000000000001,0.0,0.5,0.0,1.25,0.009423993485554697
42,0.0,0.25,0.25,0.0,0.5,2.6,1.5,0.25,0.5,0.25,0.08469266224923454
43,0.25,1.0,0.0,1.25,0.25,4.800000000000001,0.0,0.0,0.5,0.5,2.2598540936019607
44,1.5,0.0,0.0,0.0,0.0,3.8000000000000003,1.25,0.5,0.0,0.75,0.0009958015647090195
45,0.5,0.5,0.25,0.0,0.75,2.4000000000000004,1.25,0.25,0.0,0.0,0.07377120477307456
46,0.25,0.0,0.0,1.0,1.0,3.8000000000000003,0.25,0.25,0.75,0.0,0.21517048559842722
47,0.5,0.25,0.25,0.5,0.75,1.2,0.0,0.5,0.0,0.75,0.0583783609085749
48,0.5,0.25,0.0,0.25,0.0,4.6,0.5,0.5,0.75,0.0,0.06124220135779064
49,0.0,1.0,1.0,0.25,0.0,2.6,0.0,0.25,0.25,0.0,0.05107352948801303
50,0.25,0.25,0.25,0.0,0.0,2.2,1.0,1.25,0.5,0.0,0.0038372281757024823
51,1.25,0.0,0.25,0.75,0.5,2.8,0.0,0.0,0.0,0.25,0.013273523218972237
52,0.25,0.25,0.5,0.75,0.0,1.6,0.25,1.25,0.0,0.25,0.005556944994007139
53,0.0,0.25,0.0,1.25,0.0,4.800000000000001,0.0,0.25,0.5,1.25,0.45487823636076957
54,0.0,0.25,0.0,0.25,0.5,2.8,1.5,0.0,0.25,0.75,0.683518253110794
55,0.0,0.0,0.25,0.0,1.25,1.0,0.0,0.25,0.25,1.75,0.07687359188923804
56,1.0,0.0,0.75,0.0,0.25,4.4,0.5,0.5,0.25,0.25,0.06305612190753565
57,0.5,0.0,0.5,0.5,0.25,1.2,0.25,0.0,1.0,1.0,0.00854804215548495
58,0.25,2.0,0.25,0.5,0.0,3.8000000000000003,0.25,0.25,0.0,0.0,0.27594086668052853
59,0.0,0.75,0.5,0.75,0.75,4.800000000000001,1.0,0.25,0.0,0.0,0.10784747033300135
60,0.0,0.25,0.25,1.0,0.25,1.8,0.0,0.25,1.25,0.5,0.03360905544260606
61,0.25,0.0,0.0,0.0,0.5,2.4000000000000004,0.0,0.5,0.25,0.25,0.13834807837866092
62,0.5,0.0,0.0,1.0,0.0,1.8,1.5,0.0,0.25,0.25,0.12010631110751341
63,0.25,0.0,0.0,0.5,1.0,1.4,0.5,0.75,0.0,0.0,0.07899498778841377
64,0.0,0.75,0.0,0.0,0.0,3.4000000000000004,1.75,0.0,0.0,0.75,0.8828426985797022
65,0.0,0.25,0.5,0.0,0.0,1.2,0.75,0.0,0.5,0.5,0.024037730755246494
66,0.5,0.25,0.0,1.0,0.0,1.4,1.0,0.75,0.25,0.0,0.04267897807860129
67,0.25,0.0,0.25,0.5,0.5,3.8000000000000003,0.0,0.75,0.5,0.25,0.06822899875981227
68,0.5,0.75,0.25,0.25,0.75,3.2,0.5,0.25,0.25,0.0,0.1748531404348395
69,1.0,0.25,0.0,0.75,0.5,3.4000000000000004,0.0,0.5,0.25,0.0,0.03859311536939262
70,1.5,0.0,0.25,0.0,0.0,1.8,0.75,0.5,0.0,0.25,0.0027549438178767426
71,0.5,1.0,0.25,0.5,0.0,3.2,0.0,0.0,0.75,0.5,0.10948785283660203
72,0.0,0.0,0.5,0.75,0.0,3.8000000000000003,0.25,1.5,0.25,1.0,0.00025313359989648026
73,0.5,0.0,0.25,0.5,0.75,3.2,0.25,1.0,0.75,0.0,0.01376259948315264
74,0.25,1.25,0.25,0.0,0.0,2.8,0.25,0.75,0.75,0.0,0.03742092446530794
75,1.25,0.5,0.0,0.25,0.5,3.8000000000000003,0.75,0.0,0.25,0.0,0.029489910059438563
76,0.25,0.5,0.75,0.25,0.25,3.4000000000000004,0.0,0.0,0.75,0.5,0.03495923098416692
77,0.0,0.75,0.0,0.5,0.25,4.800000000000001,0.25,0.0,1.5,0.5,0.20434969716211943
78,0.75,0.0,0.25,0.0,1.0,1.2,0.0,0.0,0.0,0.25,0.030516825284825754
79,0.0,0.0,0.75,0.25,0.25,1.2,0.5,0.75,0.0,1.25,0.003107433844773988
80,0.0,0.0,0.0,0.5,0.75,2.0,0.5,0.0,2.0,0.0,0.028355850353149935
81,0.0,0.25,0.0,1.25,0.25,2.2,0.0,0.25,0.25,1.0,0.8722789665956371
82,0.75,1.25,0.25,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.02577918773676295
83,0.25,0.75,0.0,0.0,0.25,4.6,0.5,0.25,0.75,0.0,0.4150580479420216
84,0.25,0.5,0.0,1.25,0.25,4.0,0.0,0.0,0.25,0.0,3.053322771962322
85,0.25,0.25,1.5,0.25,0.0,1.2,0.0,0.5,0.75,0.5,0.00039196539167136703
86,0.5,0.0,0.25,1.25,0.0,3.4000000000000004,0.5,0.0,0.75,0.75,0.0765487955103166
