Unnamed: 0,u10_l1,u10_l2,u10_l3,u10_l4,u10_l5,u10_l6,u10_l7,u10_l8,u10_l9,u10_l10,u1_l10,u5_l2,Function,Hypotheses
0,3.900212238131474,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,Ackley_d5,Good
1,3.900212238131474,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,Ackley_d5,Good
2,3.900212238131474,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,Ackley_d5,Good
3,3.900212238131474,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,Ackley_d5,Good
4,3.900212238131474,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,3.913763533981319,Ackley_d5,Good
5,3.537855318728837,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.801304470561397,Ackley_d5,Good
6,3.537855318728837,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.715747465609283,Ackley_d5,Good
7,3.537855318728837,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.56069792701947,Ackley_d5,Good
8,3.4660213321576294,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.54415947619063,3.494366369186699,Ackley_d5,Good
9,3.449655682708114,3.494008659213299,3.5441076475698856,3.5441076475698856,3.5441076475698856,3.5441076475698856,3.5441076475698856,3.5441076475698856,3.5441076475698856,3.5441076475698856,3.5441076475698856,3.494366369186699,Ackley_d5,Good
