,hypbo - Good,hypbo - Poor,hypbo - Weak,lamcts - No Hypothesis,lamcts+ - Good,lamcts+ - Poor,lamcts+ - Weak,pibo - Good,pibo - Poor,pibo - Weak,random_search - No Hypothesis
hypbo - Good,1.0,0.15316212226769294,0.25777097792381143,0.1663166510792309,0.9878902327616554,0.10532557774165044,0.25155310116213725,0.693326015892457,0.1022163489380257,0.1663166510792309,0.0851024254365971
hypbo - Poor,0.15316212226769294,1.0,0.7615615536625415,0.9636821600688656,0.15745357067329097,0.8436099421879559,0.7731392013920665,0.07043955129876271,0.8317581232682999,0.9636821600688656,0.7615615536625411
hypbo - Weak,0.25777097792381143,0.7615615536625415,1.0,0.7964482925895865,0.2640976122421885,0.6168652652663118,0.9878902327616557,0.1293052842681799,0.6062579893911968,0.7964482925895865,0.5444506820738793
lamcts - No Hypothesis,0.1663166510792309,0.9636821600688656,0.7964482925895865,1.0,0.1708903984961258,0.8081746640342292,0.8081746640342297,0.0774811025819319,0.796448292589586,1.0,0.7271658554921441
lamcts+ - Good,0.9878902327616554,0.15745357067329097,0.2640976122421885,0.1708903984961258,1.0,0.10851148403538556,0.25777097792381165,0.6821802986660037,0.10532557774165051,0.1708903984961258,0.08777738876582641
lamcts+ - Poor,0.10532557774165044,0.8436099421879559,0.6168652652663118,0.8081746640342292,0.10851148403538556,1.0,0.6275553358189516,0.04584480615062625,0.9878902327616557,0.8081746640342292,0.9153918586076604
lamcts+ - Weak,0.25155310116213725,0.7731392013920665,0.9878902327616557,0.8081746640342297,0.25777097792381165,0.6275553358189516,1.0,0.12563381306229748,0.6168652652663118,0.8081746640342297,0.554525066834851
pibo - Good,0.693326015892457,0.07043955129876271,0.1293052842681799,0.0774811025819319,0.6821802986660037,0.04584480615062625,0.12563381306229748,1.0,0.04430600675327908,0.0774811025819319,0.03598185475005432
pibo - Poor,0.1022163489380257,0.8317581232682999,0.6062579893911968,0.796448292589586,0.10532557774165051,0.9878902327616557,0.6168652652663118,0.04430600675327908,1.0,0.796448292589586,0.9274415877047364
pibo - Weak,0.1663166510792309,0.9636821600688656,0.7964482925895865,1.0,0.1708903984961258,0.8081746640342292,0.8081746640342297,0.0774811025819319,0.796448292589586,1.0,0.7271658554921441
random_search - No Hypothesis,0.0851024254365971,0.7615615536625411,0.5444506820738793,0.7271658554921441,0.08777738876582641,0.9153918586076604,0.554525066834851,0.03598185475005432,0.9274415877047364,0.7271658554921441,1.0
