,Good
0,2071.2762993154297
1,2071.2762993154297
2,2071.2762993154297
3,2071.2762993154297
4,2071.2762993154297
5,2071.2762993154297
6,565.7443157709864
7,565.7443157709864
8,565.7443157709864
9,565.7443157709864
10,565.7443157709864
11,433.93363574392106
12,433.93363574392106
13,433.93363574392106
14,433.93363574392106
15,433.93363574392106
16,429.1482041146469
17,429.1482041146469
18,427.7913607767224
19,427.7913607767224
20,427.0745536774991
21,426.1536773316636
22,423.8654730316459
23,416.7333857075373
24,412.1987715749581
25,410.8140341326526
26,410.8140341326526
27,409.6418258168797
28,409.6418258168797
29,409.4940211983082
30,408.9998046393931
31,406.6879010254741
32,379.5242649074932
33,379.5242649074932
34,379.5242649074932
35,379.5242649074932
36,379.5242649074932
37,379.5242649074932
38,379.5242649074932
39,379.5242649074932
40,374.7350616507623
41,368.8322934276936
42,368.8322934276936
43,360.3564400994481
44,339.2195458182624
45,333.4021992145576
46,329.4289619251819
47,327.7286813902598
48,327.7286813902598
49,327.7286813902598
50,327.7286813902598
51,324.4509941789357
52,324.4509941789357
53,323.19450194182474
54,322.3251766522705
55,322.3251766522705
56,322.3251766522705
57,321.1611687991569
58,321.1611687991569
59,321.1611687991569
60,319.6343105468852
61,319.6343105468852
62,319.6343105468852
63,319.6343105468852
64,319.6343105468852
65,319.6343105468852
66,319.6343105468852
67,319.6343105468852
68,319.6343105468852
69,319.6343105468852
70,319.6343105468852
71,97.0854761098752
72,70.52861851908602
73,52.33055992300202
74,47.60629074917444
75,45.43215153565848
76,45.43215153565848
77,45.43215153565848
78,45.43215153565848
79,45.43215153565848
80,45.43215153565848
81,45.43215153565848
82,45.43215153565848
83,45.43215153565848
84,45.43215153565848
85,45.43215153565848
86,45.43215153565848
87,33.762483920386494
88,30.91226436024372
89,30.28877781254802
90,30.02428335648393
91,29.12642758278923
92,25.859061164484025
93,24.12279623304389
94,24.12279623304389
95,24.12279623304389
96,24.12279623304389
97,24.12279623304389
98,24.12279623304389
99,24.12279623304389
100,24.12279623304389
101,24.12279623304389
102,24.12279623304389
103,24.12279623304389
104,24.12279623304389
