x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,target,model_name,level,iteration
0.8508948,1.6610875,0.6740317,1.3683579,1.1336012,1.3299764,0.08491927,1.7736715,1.9186547,1.5208443,0.7865267,0.75630265,0.5412857,0.03261688,1.3209825,1.962739,0.5717876,0.065517396,0.35690954,0.7404592,-2.8910053,Good,Local,1
-3.0524,-2.3958178,-2.545693,-2.0987372,-2.90528,-2.3942645,-2.068573,-2.9493804,-2.2154915,-2.5860398,-2.6219096,-2.0005448,-2.5716603,-1.3308585,-1.6809001,-2.0578234,-2.9956563,-2.44839,-2.203079,-1.8604208,-136.07777,Weak,Local,2
-8.932296,-9.930978,-9.119497,-9.291364,-9.362807,-8.091084,-9.789636,-9.915679,-8.437689,-9.54377,-9.892026,-8.350916,-9.399855,-9.011488,-8.352043,-8.804016,-9.007063,-9.015253,-9.650347,-9.072373,-723.9402,Poor,Local,3
-6.341138,-9.71915,9.162424,-7.7595906,2.5859737,-0.8887558,2.8312597,-7.3705645,1.3511839,-6.697774,-4.4075975,-5.5225224,6.5170364,1.5127678,-4.6754227,-8.286314,6.8696537,2.774294,0.7600517,-8.776303,-281.87115,Global,Global,4
0.10076046,-8.25662,5.3136005,4.2956886,-3.907669,3.2808037,9.197601,1.5615845,-7.867072,1.0374317,-6.2938023,-7.68196,2.199297,-3.453599,9.305487,8.8607235,9.559458,1.0869303,2.3286839,5.4144325,-251.79146,Global,Global,5
1.8756975,0.30895197,1.3416384,0.80842423,1.1438861,0.24734755,1.9357908,0.5951107,1.6801953,0.8028466,1.5699115,0.6458764,0.19951524,0.7552854,0.7934281,1.2094012,0.4710359,0.9591911,1.3309275,0.98971117,-2.7379336,Good,Local,6
0.5702413,0.9143325,0.054633204,0.903496,0.016977478,0.07559516,1.6589963,0.5957788,0.86103237,0.67182934,1.2583528,0.36781314,1.0301132,1.1180087,0.8361612,0.62894857,0.8120042,0.4153021,0.84912014,0.4518334,-1.1636099,Good,Local,7
0.2930757,1.0103567,0.0,0.9031341,0.0,0.004208993,1.5311282,0.56445235,0.6278648,0.6068202,1.2075781,0.27919704,1.2741312,1.2518824,0.8150602,0.410775,0.931825,0.2823345,0.7494662,0.2878914,-1.4499553,Good,Local,8
0.01994654,1.1775078,0.0,0.96909964,0.0,0.0,2.0,0.49219394,0.7459768,0.6792613,1.16383,0.40685654,0.8894967,1.0982937,0.960693,0.82483006,0.5972772,0.4883929,0.8142314,0.6037537,-1.9199926,Good,Local,9
0.29522926,-1.1994272,2.3558505,1.3130635,0.037312523,2.5385242,-7.182846,-0.033713575,1.0938014,-0.093240246,-2.4203176,2.8959744,0.13038284,7.235945,2.0290024,-0.16093723,-3.3011296,-1.1056408,1.9122739,3.1230204,-57.101284,Global,Global,10
