x1,x2,x3,x4,x5,target,model_name,level,iteration
0.63330996,-0.59071064,-0.69198835,-0.83506566,-0.070610404,-4.142911,Good,Local,1
-8.017152,-6.619644,-8.075245,-7.4570255,-7.0046177,-16.947765,Weak,Local,2
-31.23137,-32.570942,-30.959076,-31.642826,-31.880758,-21.622967,Poor,Local,3
-23.686104,0.44473648,-16.88118,25.353455,4.725979,-21.337406,Global,Global,4
19.123287,-4.528673,-29.966742,17.426945,-14.932838,-21.117622,Global,Global,5
0.70634806,0.7292796,0.37451848,0.5464638,0.5914712,-4.4317675,Good,Local,6
0.60896856,-0.62554395,-0.86894184,-0.7248143,-0.28078398,-4.3665533,Good,Local,7
4.138895,-6.3494434,0.59292203,-10.829626,3.4195116,-16.036514,Global,Global,8
20.190866,-0.07499852,5.0197673,-0.8903816,-6.250049,-18.028946,Global,Global,9
2.2573137,-3.3889165,-7.610124,1.2546395,5.2368975,-13.930592,Global,Global,10
-3.5691433,0.08312231,0.72190267,-3.3925025,-6.8711123,-12.414034,Global,Global,11
0.4859498,3.7477481,1.2294191,4.4360933,-1.3938683,-10.549789,Global,Global,12
0.6445423,-0.57862383,-0.61999273,-0.8834908,0.027210593,-4.141549,Good,Local,13
0.63566554,-0.49416316,-0.34679136,-0.8914614,-0.07471515,-3.9440012,Good,Local,14
0.62791836,-0.3816899,-0.18583706,-0.9064162,-0.1625435,-3.6766481,Good,Local,15
0.6251408,-0.28617328,-0.047982763,-0.93355584,-0.20330742,-3.4404802,Good,Local,16
0.6231917,-0.1400389,0.18383053,-0.98529917,-0.24634942,-3.4672823,Good,Local,17
0.6247405,-0.17020069,-0.50928414,-0.9317402,-0.18707004,-3.8323374,Good,Local,18
0.89908016,4.230436,6.0873547,-2.1002214,0.33834538,-11.220916,Global,Global,19
1.9018177,21.461134,0.68303114,-1.835322,-2.895365,-18.719894,Global,Global,20
1.4602481,-0.24480297,6.8464804,-9.798281,-0.7107023,-14.981322,Global,Global,21
-9.4094,0.85968524,0.8601715,-2.6184208,0.025255518,-13.278858,Global,Global,22
1.5914066,-0.12565593,0.9065689,-2.160656,-7.801805,-11.836255,Global,Global,23
0.6076826,-0.24591137,0.09350061,-0.8999414,-0.37144768,-3.6774607,Good,Local,24
0.63377845,-0.1939115,0.09302979,-0.9879563,-0.1438531,-3.2264013,Good,Local,25
0.6520253,-0.19775632,0.14239456,-1.0,0.008759092,-3.1771784,Good,Local,26
0.6290517,-0.18696165,0.11640882,-1.0,0.13091348,-3.2394323,Good,Local,27
0.6465113,-0.18216844,0.059853386,-1.0,0.43165553,-3.7031431,Good,Local,28
3.7270858,1.1670241,0.85118616,-2.6333232,-0.2062775,-8.5725565,Global,Global,29
-1.0043813,0.06681417,1.1545204,-2.9126055,0.5849128,-6.2477465,Global,Global,30
-1.219829,-0.70031357,1.8026277,-0.574895,0.16279723,-5.5612135,Global,Global,31
0.9176496,-6.3032165,1.6000314,-1.4090261,-0.44607365,-11.10182,Global,Global,32
0.9104451,-0.54352754,2.4422824,-1.1958672,-0.2881734,-6.50718,Global,Global,33
0.6812586,-0.13782622,0.022372602,-1.0,-0.0011716622,-2.878829,Good,Local,34
0.7160229,-0.02318785,-0.039005868,-1.0,-0.0007617838,-2.6870604,Good,Local,35
0.76588976,0.056404915,-0.025737626,-1.0,-0.012461718,-2.6166697,Good,Local,36
0.767584,0.07863839,-0.025548765,-0.7016383,0.005910148,-2.791627,Good,Local,37
0.8386503,-0.024877654,-0.06348706,-1.0,-0.0076725185,-2.4959993,Good,Local,38
0.94022965,-0.024116172,-0.01773501,-1.0,0.025902605,-2.365674,Good,Local,39
1.0,-0.009135614,-0.040773824,-1.0,0.029987294,-2.4059458,Good,Local,40
1.0,-0.74090827,0.3615548,1.0,-1.0,-4.2880735,Good,Local,41
-2.4667315,0.81915325,4.2968984,-0.8406164,-0.20975573,-9.051147,Global,Global,42
1.6219703,2.2563338,-0.30109358,-3.0782712,-0.36320496,-8.105105,Global,Global,43
1.9986737,-0.06936539,-4.2285166,2.9662757,1.5210776,-9.253282,Global,Global,44
-3.2312026,-1.2987022,2.4381046,-13.928013,1.5760013,-16.519485,Global,Global,45
-1.5749221,-0.36838514,2.3827088,25.362318,0.027637757,-20.004814,Global,Global,46
-0.7411435,-1.0,-0.93605745,-1.0,0.38738218,-4.3068438,Good,Local,47
-0.9996074,-1.0,0.4395027,-0.70189095,-1.0,-4.4478083,Good,Local,48
-2.1978927,-1.8051761,-1.2031692,2.6773968,0.37241447,-7.899561,Global,Global,49
0.16407748,4.2298,0.2641398,-1.2801337,2.1324546,-8.60406,Global,Global,50
3.192405,-0.59284586,0.4915845,3.1216416,-6.7308707,-12.199685,Global,Global,51
0.52556646,5.785177,0.7455301,-5.035022,-2.3091354,-12.029139,Global,Global,52
2.539298,-1.7559124,-0.4813387,-0.06224573,4.3109603,-9.536472,Global,Global,53
-1.0,-0.12820446,-1.0,1.0,1.0,-3.4441252,Good,Local,54
-1.0,0.50863594,-1.0,1.0,1.0,-4.266555,Good,Local,55
-0.76751953,1.8217597,-0.15810551,0.008633629,-1.639009,-5.493659,Global,Global,56
-2.3768759,5.424751,5.2590537,-2.0204632,-5.541836,-13.729152,Global,Global,57
3.54202,6.7949343,2.80159,2.4712458,2.3666503,-12.98588,Global,Global,58
-0.15595411,1.1277767,-0.5003105,-1.490402,2.5691044,-7.004668,Global,Global,59
-7.631583,7.5475626,8.654102,-5.6869507,0.9598635,-16.74067,Global,Global,60
-1.0,-0.47056037,-0.4361968,1.0,1.0,-4.5187616,Good,Local,61
-1.0,-0.12519531,-1.0,1.0,0.2663782,-3.5707197,Good,Local,62
-6.894591,-5.6636224,-1.6238146,-0.4029771,4.328404,-13.876057,Global,Global,63
0.045660093,-3.326475,0.26048145,0.9304546,-15.693654,-16.748676,Global,Global,64
