Unnamed: 0,x0,x1,Target,Hypothesis
0,3.510787193803713,2.3058556915555988,-1.1355955071863704,Good
1,8.101441041877244,14.52810994231398,-175.17297136347514,Global
2,8.0379181032088,7.962835373333984,-49.32173799887473,Global
3,-1.5090750803406392,0.1709820641614484,-83.26753461673219,Global
4,1.4570322743873572,6.0352704005604725,-15.416245468470876,Global
5,2.641592653589793,1.775,-2.4238536994100497,Good
6,3.218570500067295,2.650388738450687,-0.615247478086159,Good
7,2.641592653589793,2.775,-1.5794022236877725,Good
8,3.641592653589793,2.775,-2.3088885794952057,Good
9,2.9916531868340464,2.29803973702461,-0.5149914021477314,Global
10,3.123265934274976,2.442796487001029,-0.4230500653279577,Global
11,3.066524556872947,2.4826582522666354,-0.4469485755219154,Global
12,3.135713908235556,2.3628674514702768,-0.4049885708249246,Global
13,3.150109356921773,2.260118982991256,-0.3983036352791552,Global
14,3.5039181331762768,1.791325197470662,-1.0688587515716057,Good
15,3.1966284895854344,1.9916010470405288,-0.4704441914015909,Good
16,3.147981479256781,2.2277467573776844,-0.3998705934755549,Global
17,3.1384787867707966,2.2834126315480843,-0.3979697058372848,Global
18,3.1460162891280965,2.2709585973054924,-0.3979816602696323,Global
19,3.1372952486141403,2.2809320673463853,-0.3979826696969319,Global
20,3.1521713567696934,2.270738203670416,-0.3984404238061019,Global
21,3.28007901403982,2.0871121675239417,-0.4966012985821511,Good
22,3.0534763418228805,2.775,-0.620280670659501,Good
23,3.118325857174179,2.338586791150408,-0.402544883936365,Global
24,3.1541048682862534,2.2579736961840524,-0.3986921058330856,Global
25,3.141081034881634,2.3074747340766524,-0.398917465576409,Global
26,3.1402912276258754,2.276501490628888,-0.39789572585279,Global
27,3.138649180024676,2.326423781150028,-0.4003424327540417,Global
28,3.1426585986598066,2.1204797942541944,-0.4215131417113977,Good
29,3.1290009686841627,2.240262108870404,-0.4006357660262492,Good
30,3.175382459600152,2.108156393006781,-0.4231480036507028,Global
31,3.137283678638396,2.252944045833726,-0.3986226127571126,Global
32,3.15186674858759,2.227875587909854,-0.3999249589637568,Global
33,3.1391367062961333,2.3143379596095457,-0.399316713783296,Global
34,3.1867330378980845,2.120348760350075,-0.4219993917672396,Global
35,3.147070739464081,2.271446718955492,-0.3980319455018036,Good
36,3.138029287415723,2.2824890540344,-0.39797048933029,Good
37,3.18434849146942,2.4224397842987995,-0.4392599253603429,Global
38,3.143043126383912,2.200167818451436,-0.4033293384964966,Global
39,3.15320753344607,2.2859899312813474,-0.3989362589540148,Global
40,3.164613105650367,2.071061354509756,-0.4350477604615758,Global
41,3.1387034916754164,2.3795146508613154,-0.4083846295009061,Global
42,3.15096303778523,2.2725442708990653,-0.3983323375968703,Good
43,3.126566282264526,2.279402577782107,-0.3990253263402189,Good
44,3.1419159473365736,2.287881442570982,-0.3980603497365584,Global
45,3.147254997396604,2.238008054508028,-0.3991027625524184,Global
46,3.153414573885512,2.310955473408259,-0.4005974763022401,Global
47,3.143536069880297,2.126848317629206,-0.4194077770249604,Global
48,3.138439984143507,2.288660800619525,-0.3980605366216968,Global
49,3.137923750554135,2.2698483127143976,-0.3980162186338184,Good
50,3.137298151729468,2.29198129486549,-0.3981616738542269,Good
51,3.144081233057077,2.2983677795213904,-0.3985575715379441,Global
52,3.141901712117147,2.261273041183356,-0.3980696871338602,Global
53,3.1685261048430693,2.2253453494448205,-0.4021961063943186,Global
54,3.233671127597324,2.362223433918537,-0.4635080052192165,Global
