x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,target,iteration
-2.0190706,0.33358383,-9.501392,8.801588,8.917082,5.9346247,-1.6997175,6.40514,-5.419132,8.19175,-7.6332664,-8.495552,-1.8155804,9.201349,-5.813967,-6.1209564,7.8188877,-1.2266312,-2.8604116,0.90738106,-319.02417,1
6.5983944,-5.8012557,5.3684635,-1.4201336,-5.766535,3.2110987,-6.692769,-1.5001392,9.853413,3.9284906,-5.056298,4.0561857,4.9881372,8.605854,-9.011298,-8.499864,4.445182,8.956203,-2.706842,-5.5702014,-295.30795,2
5.567602,2.7815638,-5.8467665,4.0899763,9.217276,-8.8110485,-3.2847333,-8.768168,4.0607634,1.2837772,-9.796914,7.102463,0.37356472,0.03360653,-7.7119894,-4.4984937,0.67754555,7.164629,6.929184,-6.3092813,-240.42612,3
2.7203007,3.5985098,-1.184227,0.020715714,6.1936016,1.9245062,1.0283813,-1.6616783,-4.078657,3.6552572,-0.5435848,-1.5398054,4.047964,4.1114388,1.8868675,-6.5379434,2.4950237,2.3742657,4.366889,7.558157,-79.88349,4
8.924078,-0.2944603,-9.884115,8.577972,4.624648,-3.8789425,9.436134,4.9483404,-4.8361974,-2.6344962,2.4777594,-8.058976,6.3446693,3.2029047,-2.9124093,1.3744564,7.8960876,-5.1547947,2.7828703,5.76573,-249.37767,5
2.6259594,5.025663,0.23738769,-1.8029865,6.726766,1.8700576,1.4478287,-3.1510906,-4.9836707,3.484991,0.744913,-0.6389372,4.7205086,3.2096808,4.282925,-7.0557795,1.2465495,2.8538797,5.9599485,9.83409,-110.94041,6
2.1889668,3.634795,-2.9771285,-0.82788086,2.7602897,3.1874282,2.9169948,-3.068816,-3.914978,2.0520191,-0.2849502,-5.860921,3.8885643,3.1316206,0.5576743,-6.304265,3.8501394,3.942029,6.0135694,5.456426,-112.07289,7
4.520463,4.7130094,-3.2749436,-1.4079809,7.111701,0.60178804,1.7945235,-0.20660871,-3.6321988,1.3570396,-2.383129,-1.0138162,4.383408,4.0900946,1.702978,-5.586365,2.079962,1.802912,0.2249933,8.651485,-71.8115,8
5.0348697,3.923177,0.9523786,-1.008392,4.2170377,-2.5118916,4.1467695,1.9827716,-3.1428213,2.312533,-1.440299,0.83616894,2.8380702,4.9348464,3.1229677,-6.4144144,1.9274749,1.2722143,-0.16332312,5.2873387,-81.810745,9
5.1277537,3.2192602,-3.722993,-1.0985396,4.52661,1.1863507,-0.93891686,-1.4436098,-5.0488048,3.8202271,-2.4046924,4.334393,6.326021,5.0671625,3.1274486,-5.1612844,2.992861,-0.3401474,-0.77714354,3.8187013,-83.07509,10
6.0707545,4.5722914,-2.3548055,0.9282981,6.9128723,-0.18159819,-3.022981,0.9669175,-2.0849166,1.6609583,-0.3955242,-3.9863844,7.327299,6.2127023,2.1505742,-6.275259,1.4147009,1.459584,0.023187399,8.53558,-119.75245,11
3.131045,3.0294669,-1.3376442,-2.458151,8.884146,0.96105295,4.2962804,-1.4700323,-4.5998163,3.661962,-4.1073346,7.6330895,1.6864903,2.7695289,1.488083,-5.1932764,2.1376317,1.2067249,0.7128554,8.623216,-74.553375,12
3.4938586,5.5966563,-3.9625483,-0.6512517,8.951972,-0.3144405,7.2472677,2.9444997,-7.104541,1.437099,-2.029785,-1.5465909,1.9130852,3.5874088,3.4999197,-4.663297,2.768335,-0.96006876,-0.46733654,10.0,-113.10072,13
3.1339679,5.2720146,-3.0994508,-2.3424582,4.76249,-1.3470514,-0.097894415,-3.0103598,-3.7898889,3.9605002,-6.2516394,4.5819244,1.9472189,3.9365275,2.0986352,-6.9542503,1.6552607,2.9726326,-0.09579562,2.7497988,-125.4011,14
4.3293786,2.0242302,0.6363283,-2.2334037,7.8978305,1.0218915,2.314765,-2.1685643,-3.1091185,3.709627,-2.1506531,8.043488,3.829432,3.2580361,1.6418244,-5.4295173,1.7355969,1.609067,1.8410523,8.410854,-68.44059,15
4.998516,0.7375612,2.446993,-2.6874077,4.6722407,3.2816513,1.5202147,0.5037332,-5.85165,3.676807,-2.0032005,4.6462383,3.8652518,2.1313996,2.0436563,-4.7127814,2.4872441,2.0244925,-0.33675155,10.0,-81.79388,16
3.4776378,2.616352,-1.7502563,-2.7131715,9.463785,1.9959259,3.4691436,-4.4852653,-2.0706851,4.244848,-2.3693259,8.608377,6.82333,7.200351,1.1518654,-6.0357103,2.4297154,-1.5023018,0.7115336,10.0,-165.1803,17
5.347481,1.7346365,0.90687895,-1.3826537,8.03869,-1.7106035,5.2377105,-0.26354536,-2.230316,3.3764505,-0.5385853,10.0,3.1073983,3.6729488,2.8407285,-4.9412417,1.9316279,-0.07233905,1.8067284,4.5265155,-108.65322,18
3.2389452,4.1030498,-0.66675824,-0.85738206,2.328726,1.0135691,-2.1833405,-2.7929604,-7.8073344,5.7689986,-2.6361516,5.7681394,4.746362,3.6407015,4.6389756,-6.5366664,2.2657406,1.4874123,2.240305,6.316743,-123.858025,19
4.9936557,1.6583164,2.7160044,0.14407396,8.691356,1.9676964,-3.8733003,2.84797,-4.213711,4.888097,-2.3706636,2.0596902,3.2586558,3.4476666,2.1343737,-5.9879627,0.79034597,2.7270937,-1.0571254,9.003141,-92.80154,20
5.8078637,2.6889305,-0.23858634,-1.711515,3.2653773,-1.816532,4.1109056,-4.5997057,-4.483006,1.6577911,-2.2014546,3.9082155,5.9307404,2.5169723,1.126084,-4.378635,2.4572616,1.132892,3.3328545,5.336512,-64.46181,21
4.5694723,2.4301312,-5.172018,-3.6061785,0.815922,1.6358032,1.824037,-3.2527566,-4.0341096,4.1843843,-2.1728811,1.9149688,3.5019972,2.5957525,4.3008347,-4.7475505,4.267682,1.043296,0.9317325,10.0,-61.065407,22
3.8899918,0.72059846,-10.0,-5.6265717,3.9602222,-1.6379559,1.1665299,-0.79547936,-4.521409,3.4641957,-1.7237939,10.0,2.6767936,3.5522425,0.36416882,-3.1615775,3.178605,1.2959977,1.8081392,3.880729,-182.0366,23
5.9899597,2.7882357,0.41191116,-2.2414207,5.3032603,2.387369,3.6824608,-3.766126,-1.3823062,2.0932186,-1.8380685,2.5431209,5.770634,3.187528,2.873006,-5.3363566,2.9318798,1.0602202,0.55703783,10.0,-96.172165,24
5.7365603,2.0529485,-1.6111634,-3.1269255,0.61950773,3.6622326,3.9531958,-1.4490105,-4.1719007,2.6177626,-2.277481,1.4574405,3.6045408,1.5300705,4.1071267,-4.4086967,4.6520586,1.3345765,-1.1206534,10.0,-61.947243,25
4.85131,3.1998227,-0.85964596,-1.5706964,-0.92879957,-0.42985782,4.734942,-5.5210147,-4.4910145,2.8513596,-1.0884751,-2.4089174,5.2455993,2.5527067,3.5069456,-5.289805,3.972705,1.146846,4.475286,10.0,-92.80112,26
4.256083,1.799921,-1.8722862,-3.6678562,2.2997727,1.8118188,1.618705,0.56448275,-4.0185113,3.7718732,-1.9690148,3.8804634,1.9128209,2.708804,3.023383,-5.3902836,3.1837764,2.7537656,-0.107730836,8.071409,-51.14797,27
5.816888,1.8092523,-2.2321308,-2.203734,3.5845215,4.2530828,0.12766907,0.72954404,-4.167568,2.476832,-0.16302937,3.669672,5.257499,2.749044,3.3742669,-4.5537505,3.5517228,1.741784,-0.45603684,7.4871726,-57.107418,28
2.830372,5.253911,-1.851538,-0.2037967,-0.9049284,5.8135886,4.149431,1.2108053,-4.021121,5.377579,-1.7133865,4.311223,4.2744713,2.778302,1.9420718,-3.909494,3.7294877,2.6360118,-2.4553785,10.0,-82.8236,29
6.2002664,0.16172548,-2.08304,-3.165176,8.864524,1.6794181,0.03797569,-0.6735312,-4.2141786,1.145715,-1.93586,3.4905062,2.4676647,2.6510234,4.355261,-6.1309977,3.5929246,0.74517655,1.2387594,8.79673,-110.59696,30
4.30566,2.9657824,-1.9222964,-3.6376271,1.9774743,2.8659453,3.0664372,0.80079067,-4.2053704,2.8421657,-0.22147888,3.4762268,4.7383056,2.2224336,0.8883476,-3.6123922,2.2577307,3.4629025,0.30513594,10.0,-41.764076,31
4.239216,2.949668,-2.000615,-3.03105,-1.4666234,2.7604265,2.3860505,0.8868127,-4.246756,1.5929415,-0.04432792,3.865619,4.0119467,2.2574663,-2.291732,-7.033536,3.7857385,2.18591,-3.2668724,10.0,-83.73555,32
4.2180758,2.9000967,-1.4251771,-3.0021315,4.3546243,2.3044367,2.4501832,-0.11214385,-4.10437,3.7104483,-0.21419421,2.8680215,3.6556036,2.8496494,5.6500225,-3.9167712,2.2860553,3.5083873,3.9201307,8.467181,-48.12957,33
4.3627305,2.3099272,6.9362803,8.213331,9.141805,6.8013926,-9.479273,6.908641,-9.836588,2.342372,-7.7162137,2.831047,-9.537025,-9.044013,10.0,-2.3500211,10.0,9.634354,-6.2734556,8.391523,-509.55032,34
4.565191,2.589891,-1.7524399,-5.3598013,2.7737625,0.8526968,2.6513987,1.24275,-4.1559463,5.9161444,-2.2861927,1.7206779,5.059347,3.0257804,0.011536635,-2.5375676,-0.5348953,2.2265477,-1.5295979,10.0,-86.963936,35
3.492899,2.7846396,-0.9288927,-2.7088144,0.6538524,-2.3866339,0.110540286,-0.14046535,-4.079441,1.295094,1.1605262,3.0399766,4.863469,3.0068974,-2.234032,-4.606373,2.985181,5.5282445,1.569179,10.0,-65.96871,36
4.27964,3.0251334,-1.9519311,2.2583299,-0.845665,5.1366525,-1.0687529,1.211995,-4.096219,2.7991366,-2.1510637,3.5002866,5.828558,3.0427885,-0.30496657,-3.4725595,3.1573138,6.1577053,3.5088875,10.0,-81.939514,37
5.7616773,2.9077153,-2.191819,-1.8060017,2.393819,5.7533407,3.5145588,-1.6900095,-4.20657,4.5268445,0.93637407,2.189254,0.24396473,2.683397,-1.9138712,-4.1449575,2.2782266,2.4891384,-1.1545658,10.0,-78.00536,38
2.674242,2.9437344,-1.8464352,-5.5874863,3.5780058,-5.7342553,2.2192676,2.0269954,-3.9962604,2.1443615,-1.5347644,2.8863838,6.044371,1.8690194,4.794766,-4.1983624,2.8781462,2.4932516,0.20860566,10.0,-103.65222,39
