,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.0,0.25,1.0,0.0,0.25,3.4000000000000004,0.5,0.25,1.0,0.75,0.009584031351047021
1,1.75,0.25,0.25,0.25,0.25,4.2,0.25,0.25,0.5,0.0,0.0032601451988664917
2,0.25,1.0,0.5,0.5,0.0,1.8,0.0,0.0,0.5,0.0,0.05079498416564916
3,1.0,0.0,0.25,1.0,0.25,2.6,0.0,1.0,0.25,0.0,0.00436601805203047
4,0.25,1.25,0.0,0.0,0.0,4.0,1.25,0.0,1.25,0.0,0.10164121525184777
5,0.75,0.0,0.25,0.0,0.0,3.4000000000000004,0.5,1.25,0.5,0.75,0.0015823866333117438
6,0.75,1.0,0.25,0.5,0.5,3.6,0.25,0.0,0.5,0.0,0.12619792775198557
7,0.0,0.25,0.0,0.0,0.75,3.4000000000000004,1.0,0.0,0.75,0.25,1.033623571249653
8,0.0,0.0,1.0,0.5,0.25,3.2,0.0,0.75,0.25,0.0,0.015203721718700245
9,0.0,0.5,0.25,0.5,0.0,2.4000000000000004,0.0,0.5,0.5,0.5,0.03734787933697158
10,0.5,0.25,0.25,0.0,1.25,1.0,0.0,0.75,0.0,1.0,0.025154652947152904
11,0.0,0.0,2.0,0.75,0.25,3.2,0.0,0.0,0.5,0.25,0.0006653702114549709
12,0.0,0.0,0.0,0.0,0.75,1.0,0.75,0.25,0.25,1.5,0.15416920486998809
13,0.25,0.25,0.25,0.0,0.0,4.4,0.25,0.5,1.0,0.75,0.022172016737140362
14,1.0,0.5,1.0,0.0,1.5,3.8000000000000003,0.0,0.0,0.0,0.0,0.012299902942438561
15,0.0,0.25,0.0,0.0,0.25,2.0,0.75,0.5,0.5,0.0,0.06673213963287719
16,0.0,0.25,0.25,0.0,0.25,3.6,2.25,0.25,0.0,0.0,0.03597688892273675
17,0.25,0.25,0.25,0.0,1.0,2.8,0.0,1.25,0.0,0.5,0.00586217556708757
18,0.0,0.0,0.25,0.5,0.0,1.4,0.5,1.0,1.0,0.25,0.003639122334769202
19,0.0,0.25,0.25,1.0,0.75,3.6,0.0,0.25,0.75,0.25,0.12004799562136499
20,0.75,0.25,1.25,0.25,0.25,1.2,0.25,0.0,0.0,0.75,0.00949309753655493
21,0.0,0.0,0.25,1.5,0.0,2.6,1.25,0.25,0.5,0.25,0.06102195736236403
22,0.25,0.25,0.25,0.0,0.5,3.8000000000000003,1.25,0.0,0.25,0.25,0.4320840940020248
