,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.25,0.75,0.5,0.0,0.0,2.8,0.5,0.0,0.75,0.0,0.04523318334798748
1,0.25,0.5,0.25,0.25,0.25,1.0,1.5,0.5,0.0,0.25,0.017063057614678634
2,0.5,0.25,1.25,0.0,0.5,2.8,0.25,0.75,0.0,0.0,0.0003277183575701643
3,1.25,0.0,0.0,0.25,0.0,2.0,0.25,0.75,0.25,0.5,0.010412019067246021
4,0.75,0.75,0.0,0.0,0.0,3.8000000000000003,0.75,0.25,0.75,0.25,0.16183989697015003
5,0.0,0.25,1.25,0.0,0.25,3.6,0.0,0.5,0.25,1.25,0.004817654139207863
6,0.25,0.75,0.25,1.25,0.25,2.8,0.75,0.25,0.0,0.0,0.25268787934594944
7,0.5,0.0,0.75,0.0,0.0,2.2,0.5,0.0,1.25,1.25,0.005305064283925906
8,1.5,0.0,0.0,0.25,1.0,3.6,0.0,0.0,0.25,0.25,0.032368488329371205
9,0.0,0.5,0.5,0.75,1.0,3.6,0.25,0.25,0.25,0.25,0.16678501149405514
10,0.0,1.25,0.25,0.5,0.25,2.6,0.0,0.0,0.0,0.5,1.6694095543647982
11,0.25,0.25,0.25,1.25,0.25,1.4,0.0,0.75,0.5,0.25,0.037198529417106836
12,0.0,0.5,1.5,0.0,0.75,2.0,0.0,0.25,0.5,0.0,0.004557754877429278
13,0.5,0.0,1.0,0.75,0.0,4.2,0.5,0.0,0.0,0.25,0.016378383716571375
14,0.0,0.0,0.0,0.0,0.25,1.4,0.5,0.25,2.0,0.75,0.015868706517679774
15,0.25,0.5,0.25,0.25,0.0,1.8,0.25,0.75,0.0,0.0,0.05219012449604833
16,0.0,1.25,0.25,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.870714515000888
17,0.0,0.0,0.0,0.25,0.75,3.0,0.25,1.0,1.0,0.25,0.02227718479176859
18,0.75,0.0,0.0,0.5,0.0,4.2,0.0,1.5,0.75,0.25,0.0003017288417690015
19,0.75,0.0,0.25,0.0,0.25,3.2,0.0,0.5,1.0,0.25,0.009139106308221817
20,0.25,1.0,1.5,0.25,0.0,1.4,0.0,0.0,0.75,0.25,0.0011717130806795342
21,0.0,1.75,0.75,0.0,0.5,1.6,0.25,0.5,0.0,0.0,0.0037643281363397237
