,Baseline,Function,Poor,Weak,Good,Poor_Good,Weak_Good,Poor_Weak
0,LA-MCTS,Branin_d2,0.0,1073.0,5565.0,5460.0,5565.0,219.0
1,LA-MCTS,Sphere_d2,2282.0,3427.0,5499.0,4396.0,4934.0,2341.0
2,LA-MCTS,Ackley_d5,0.0,5565.0,5565.0,5564.0,5565.0,5564.0
3,LA-MCTS,Ackley_d9,0.0,5565.0,5565.0,5564.0,5565.0,5564.0
4,LA-MCTS,Rosenbrock_d14,5007.0,5565.0,5565.0,5460.0,5565.0,5460.0
5,LA-MCTS,Levy_d20,5314.0,5565.0,5565.0,5460.0,5565.0,5460.0
6,Random Search,Branin_d2,4755.0,5458.0,5565.0,5460.0,5565.0,4757.0
7,Random Search,Sphere_d2,4889.0,5563.0,5565.0,5460.0,5565.0,5195.0
8,Random Search,Ackley_d5,2509.0,5565.0,5565.0,5564.0,5565.0,5564.0
9,Random Search,Ackley_d9,162.0,5565.0,5565.0,5564.0,5565.0,5564.0
10,Random Search,Rosenbrock_d14,5419.0,5565.0,5565.0,5460.0,5565.0,5460.0
11,Random Search,Levy_d20,5396.0,5565.0,5565.0,5460.0,5565.0,5460.0
