,Baseline,Function,Poor,Weak,Good,Poor_Good,Weak_Good,Poor_Weak
0,LA-MCTS,Branin_d2,2.9174188347550676e-19,2.315186386866157e-08,1.0,1.0,1.0,1.2527348984331928e-16
1,LA-MCTS,Sphere_d2,0.05479461219053514,0.9803190515457803,1.0,0.9999998752343485,0.9999999999969638,0.07906260120635833
2,LA-MCTS,Ackley_d5,2.917568098557116e-19,1.0,1.0,1.0,1.0,1.0
3,LA-MCTS,Ackley_d9,2.9165234043347677e-19,1.0,1.0,1.0,1.0,1.0
4,LA-MCTS,Rosenbrock_d14,0.9999999999994252,1.0,1.0,1.0,1.0,1.0
5,LA-MCTS,Levy_d20,0.9999999999999997,1.0,1.0,1.0,1.0,1.0
6,Random Search,Branin_d2,0.9999999998565785,1.0,1.0,1.0,1.0,0.9999999998623639
7,Random Search,Sphere_d2,0.99999999999176,1.0,1.0,1.0,1.0,0.9999999999999938
8,Random Search,Ackley_d5,0.19096965778808,1.0,1.0,1.0,1.0,1.0
9,Random Search,Ackley_d9,2.7066953286717507e-17,1.0,1.0,1.0,1.0,1.0
10,Random Search,Rosenbrock_d14,1.0,1.0,1.0,1.0,1.0,1.0
11,Random Search,Levy_d20,1.0,1.0,1.0,1.0,1.0,1.0
