,Good,Good_Poor,Poor,Weak,Weak_Poor
0,669.1520790910669,11772174.876616646,11772174.876616646,99218.05804255426,11772174.876616646
1,669.1520790910669,669.1520790910669,1324948.6904091826,99218.05804255426,99218.05804255426
2,669.1520790910669,669.1520790910669,1324948.6904091826,99218.05804255426,99218.05804255426
3,669.1520790910669,669.1520790910669,1285816.4264392285,99218.05804255426,99218.05804255426
4,669.1520790910669,669.1520790910669,1285816.4264392285,99218.05804255426,99218.05804255426
5,669.1520790910669,669.1520790910669,1285816.4264392285,68080.20000000003,68080.20000000003
6,669.1520790910669,669.1520790910669,1285816.4264392285,68080.20000000003,68080.20000000003
7,518.4449170611632,669.1520790910669,1284247.6078949147,55035.229795028405,68080.20000000003
8,518.4449170611632,669.1520790910669,1123880.0044991854,54834.17432742477,43193.08991288177
9,518.4449170611632,546.0050888213786,901668.5406434668,54655.54403032928,43193.08991288177
10,453.1901555451634,546.0050888213786,685975.1212468717,54655.54403032928,43193.08991288177
11,453.1901555451634,546.0050888213786,533264.0165168555,54394.43001033693,40371.86894869912
12,453.1901555451634,546.0050888213786,417395.3609601739,54313.00047025966,40371.86894869912
13,388.94013388509416,546.0050888213786,329648.7445602701,54053.55235860364,40371.86894869912
14,388.94013388509416,546.0050888213786,269266.65076613514,51505.54899912908,34997.56205763108
15,388.94013388509416,450.4081278797986,252894.43345747,50710.64563019457,34997.56205763108
16,388.94013388509416,450.4081278797986,246958.06366084708,50289.39389526208,33137.533964770315
17,388.94013388509416,373.4812311883163,203554.5126393683,50289.39389526208,33137.533964770315
18,322.7616909993564,342.33701946706407,163421.03114432935,50239.469051288936,33137.533964770315
19,275.2661802816773,339.3027172403833,140424.31898325757,50239.469051288936,31011.071968431683
20,275.2661802816773,337.51945759038006,131004.34886126258,50220.71809123109,30865.859314384168
21,275.2505463513586,334.7328143244168,128965.73472435054,50220.71809123109,30019.87377950226
22,275.2505463513586,333.874265656311,119099.8414533473,50066.562848726855,26921.97890192735
23,271.48614616108773,307.6565495974279,106541.95508532572,49929.88200695253,20668.9607379213
24,271.48614616108773,289.9471522790253,106049.68940825146,49922.27583950482,20168.30601307222
25,271.48614616108773,270.33689225621737,105604.84547534864,49922.27583950482,18471.270421387293
26,271.107358104183,258.1844961144976,100816.52517185984,49627.6398873968,18010.771807249042
27,258.2416326194251,249.42066398251143,94441.56551169755,48888.908997717925,17852.07764685456
28,258.2416326194251,243.78583073858735,94441.56551169755,48888.908997717925,17366.78448882442
29,258.2416326194251,241.70964764645703,87296.59077217191,48726.94227930217,17329.723546523248
30,246.159401868762,241.08646464347743,82761.77259595222,48591.33224108465,16952.609545745865
31,246.159401868762,236.94136595088517,80897.32320425667,48569.66967730526,16948.75532974007
32,246.159401868762,232.813564225624,80450.72552209321,48555.19906268626,16548.052462635744
33,241.87130905012785,183.80685848479823,80450.72552209321,47219.94072776263,15781.07763108644
34,241.87130905012785,159.01744087390733,74257.7034314702,42531.39689666549,15466.857873746823
35,189.6586025895574,147.87753700781755,64380.02327701788,41023.98344674592,15171.195436757
36,189.6586025895574,145.74999566554095,62865.3315889578,40188.97940013959,15146.12202841345
37,189.6586025895574,145.38767120392512,62865.3315889578,39919.95852493368,15108.50738751554
