,g10_l1,g10_l10,g10_l2,g10_l3,g10_l4,g10_l5,g10_l6,g10_l7,g10_l8,g10_l9,g1_l10
0,619.2404216174112,620.4619030044297,620.4619030044297,620.4619030044297,620.4619030044297,620.4619030044297,620.4619030044297,620.4619030044297,622.8007531625022,620.4619030044297,620.4619030044297
1,118.22409027082394,118.21569078800285,118.21569078800285,118.21569078800285,118.21569078800285,118.21569078800285,118.21569078800285,118.21569078800285,118.47127724688596,118.21569078800285,118.21569078800285
2,118.0087230554696,117.99601622834142,117.99601622834142,117.99601622834142,117.99601622834142,117.99601622834142,117.99601622834142,117.99601622834142,118.242449580572,117.99601622834142,117.99601622834142
3,118.0087230554696,117.99601622834142,117.99601622834142,117.99601622834142,117.99601622834142,117.99601622834142,117.99601622834142,117.99601622834142,118.242449580572,117.99601622834142,117.99601622834142
4,117.23446779217711,117.20627585978308,117.20627585978308,117.20627585978308,117.20627585978308,117.20627585978308,117.20627585978308,117.20627585978308,117.41980336332374,117.20627585978308,117.20627585978308
5,109.61763743643216,109.4371088969232,109.4371088969232,109.4371088969232,109.4371088969232,109.4371088969232,109.4371088969232,109.4371088969232,109.32692111034466,109.4371088969232,109.4371088969232
6,109.41016659675374,108.56791038355784,108.56791038355784,108.56791038355784,108.56791038355784,108.56791038355784,108.56791038355784,108.56791038355784,108.42150599225572,108.56791038355784,108.56791038355784
7,104.95207029123203,105.27924139596858,107.3845648739364,105.27924139596858,105.27924139596858,105.27924139596858,105.27924139596858,105.27924139596858,104.99580913018362,105.27924139596858,105.27924139596858
8,96.6516213042606,103.66907260792968,104.06345978944115,104.11082942766032,103.66907260792968,103.66907260792968,103.66907260792968,103.66907260792968,103.35116541695716,103.66907260792968,103.66907260792968
9,84.60247201617979,102.89767700022234,91.76574089291526,100.4823959995204,102.7779831763072,102.89767700022234,102.89767700022234,102.89767700022234,102.54762832559533,102.89767700022234,102.89767700022234
10,77.93898348474437,101.3785655130944,78.698298205374,92.03698384544624,99.34911226305957,101.49833308242393,101.3785655130944,101.3785655130944,101.25656905929712,101.3785655130944,101.3785655130944
11,72.95866262360266,100.98824161158356,70.80394749923477,81.36807974637968,95.43158301204254,98.48632816013836,100.66660063290132,100.98824161158356,100.91778416328172,100.98824161158356,100.98824161158356
12,68.93489751498403,100.53298601962324,63.43576594267153,73.72895736125933,90.30118235659118,94.41711923746296,97.81119399242873,99.73381648397827,100.44355958832308,100.53298601962324,100.53298601962324
13,66.41632500845546,99.76708004560916,59.68954906346946,67.2811777030619,84.71131694305019,90.06179284775466,95.08243926930436,97.51896779028452,99.0759218160713,99.76708004560916,99.76708004560916
14,64.34886396549248,98.91563971585992,55.24894854213312,64.35174773736878,78.34312779728845,85.84787665971545,90.4324781412994,96.20640549777796,96.77572692546904,98.02156077141844,98.91563971585992
15,62.27681426480736,97.04883704812146,50.873280054150094,60.0159478449861,74.6950196966285,80.91578218191692,86.93320186819776,93.69682558095268,94.81847824670604,96.24225954082392,97.04883704812146
16,60.11802460846842,96.24071063209978,48.119598221797744,56.12242301371958,71.58621414865915,78.31745818718149,83.15872296594334,91.92621525791682,92.37555742418373,94.8499219234995,96.24071063209978
17,58.3128551920476,94.86505029213616,46.2562828531529,52.20997161517548,68.12021634923302,75.74926518228762,80.60584974090939,88.15547532617855,90.14320638931254,92.48306731747302,94.86505029213616
18,56.45710212060626,92.34641921632264,44.25737122620721,49.375220924967294,63.17675486696163,72.1105639554376,78.42146736076897,86.77563767127963,86.7872089908049,90.7036692103099,92.34641921632264
19,54.898825808112726,91.46405725353004,42.03960963855709,46.525130250835645,60.3597659394397,67.36560799050947,74.78040500801715,85.10537911677109,85.73451669335726,88.71550148448749,91.46405725353004
20,48.98945803734781,89.4639215449664,39.92913795551495,44.45048574747456,57.33229015506085,65.0390414836526,71.37984283302772,82.24571178331736,83.59908990309474,86.91765978402462,89.48154812314769
21,47.489174014097536,88.07250795367914,38.054927782050434,43.37976926099253,55.38239114677166,62.261535408095405,68.4754016561596,79.13636082375285,80.47316148021928,85.14949249355233,88.15096891337802
22,46.50193941979749,86.63555483513464,36.65385736967045,42.0568658927364,52.32549908274714,60.23762398154928,65.91373167224562,76.85384080767034,77.2087861078935,81.91172838393462,86.80086877619995
23,45.693053190206,84.22970556217582,35.095904019834904,39.90859434729006,51.32612575092096,58.529313357168505,64.50480493492306,74.67412479078486,75.29181515653399,78.80325911042036,84.77540203823659
24,43.95743046478434,81.05969453398609,34.168315806409524,38.62969247475684,49.96987001382608,56.00205120093706,62.93218415571785,72.95636469530456,72.43550874725807,77.06274576370951,81.75991017275206
25,43.15494897389331,79.26589045333336,32.90019630538532,36.873792248625925,47.84223032317179,54.16181602927398,60.69203729032205,70.76917817148257,70.70936277336679,74.90003653707407,80.19040274942878
26,42.36147195039856,76.74083092814337,31.31551901351569,35.19860318071156,45.63284216722263,51.23532666333871,58.23406760537316,67.98145601154135,68.83146423662154,72.98131379979965,77.80316938754133
27,41.84523660095394,75.08573821002493,30.30601038061316,33.94403962416927,43.65052284775589,48.80803022503305,55.60075666300207,66.29930388440503,66.15475166828162,71.17075327467832,76.41533646077262
28,41.24575517136156,73.54629466179321,29.506189200342043,32.94043334645699,40.8790873415546,46.388458427736815,53.103863780826295,62.95224095528168,64.45168477993855,68.80583844455502,75.15903187475168
29,40.49368664276695,71.24924579844829,28.929237176147307,31.9649881400979,38.78124772929086,43.78017130763364,51.00128094014929,60.3629510273566,62.19512947659367,67.42479985298164,72.91949126983978
30,39.86092678288497,70.15735917735172,28.26182194144652,30.8018075605821,37.52247552797403,42.06123901220921,48.79829304470639,58.15897178747706,60.28065354971633,64.62477496110479,71.91393942144815
31,38.95322378436315,67.22560619513591,27.183998870604043,29.89274728045616,35.758285447408326,40.67558733540028,46.27784221884144,55.71607949027553,58.93956837444424,62.9529135836078,69.12964646571038
32,37.9745248854298,65.81917436272775,26.49744505841735,29.024596014285475,35.05116853886487,39.52612291304255,44.84297469384096,53.39546735281676,56.72610255502676,61.5630293160005,67.80065057839711
33,36.452338765234806,63.29380632218898,25.713338859965493,28.26016664041298,33.22163938527825,38.5467573578408,43.14806747932585,51.89124506488322,54.8076739896363,59.05831619455593,65.6226824640605
34,34.96953698044818,62.28672745968392,25.174283464594943,27.490675827611653,32.54022366313829,36.862322938156325,42.11709204631608,50.30460717292941,53.38895440286336,57.39392343903628,64.49678105531376
35,33.46571788432609,60.27614431523855,24.17973685054072,26.49798185328333,31.7712645643428,35.75821975128251,40.368818238527695,48.74739914666176,52.3535267416548,56.20202462747559,62.953068906065006
36,31.9716298150698,58.38213857135524,23.65920832221082,25.94205998568868,30.799839663415643,34.7707186185025,38.8880631581717,47.42389161675428,51.12384970165971,54.80885124180003,61.52507521859965
37,31.51159955574817,56.64933958979019,23.179447073942143,25.28930456180449,29.03313716092542,32.76634122609046,37.66645272209813,45.388827902212505,49.48546300373842,53.29013608955393,60.14455673766665
38,30.54298283847892,54.99726790262081,22.575832134305543,24.36175782930165,28.2516082665292,30.95265030135952,35.3409744289539,43.86621789396447,47.71363368486025,51.62429409469795,58.21134543528686
39,29.817195091175662,53.46243133574284,22.08421874055625,23.68720586103502,27.135798755956426,30.09263170984445,32.654233043284314,40.38800866358723,45.26752270124525,50.27046606292397,56.67114386029179
40,29.18700635952543,52.21156555328944,21.49712254970232,23.055341727733644,26.205801107239544,29.24295210939496,31.52781538453829,37.41157040797601,41.837539736620656,48.11819460991043,55.424685788478754
41,28.204120500132564,51.0619777930342,21.07269028569442,22.47794051987413,25.696695211861837,28.82866698722893,30.88087191704511,36.30632875303625,40.034495186945485,45.05517886906299,54.38731976160651
42,27.563695763480503,47.58415753064927,20.443210853045848,22.04369155846772,24.311249496294565,27.902219067409774,30.07236957380452,35.27767602962613,38.82941387354564,42.82851365540543,50.894485792871485
43,26.446957467287994,45.65305135168869,19.920148360044013,20.83674219740177,23.85355528667108,27.46142491175999,29.317017006102457,34.26491273712807,37.93761431877691,41.48117547251493,48.82105768855936
44,25.828171430715766,44.5979419361129,19.366940251721665,20.28438467770842,22.74357506479345,27.114811595856285,28.45144083430465,32.90709485818826,36.19992378404175,40.211336917347495,47.899843064491606
45,25.439798010795258,43.47403522308653,19.07901923908584,19.93832486995817,22.33927188234212,26.80222589837254,28.105771242616893,32.222106000888864,34.609916229759826,39.22817516872101,47.05714542908132
46,24.869539268610897,42.68294821619585,18.53098846821753,19.020742639411367,21.9819034825988,25.699884114176008,27.68780013194762,31.537061898132546,33.87894890579579,37.8282617412835,46.335989775778025
47,24.124385245541696,41.55758509601804,17.75937564715489,18.62614355331946,21.482702775857103,25.20060954315882,25.791033760750324,31.022591066130182,33.16814250508903,36.782901890408205,45.26654365116738
48,23.352908752410173,39.46512093405821,17.36877356497972,18.407357494900616,20.96801776482373,24.11701417850712,25.050375849279053,28.832551411131828,32.73757893242621,36.32729100545078,43.30347472810171
49,22.790819060447507,38.91856321427117,16.93024591839976,18.069099911707603,20.632550963814456,23.793331823154706,23.92895689932022,28.2047761207684,29.98828083869769,35.646248987225576,42.79126949895625
50,21.90805657353609,38.48020850434108,16.52493081468667,17.435695729335254,20.229010389893983,21.55526406037282,23.746502450099456,27.08031621487261,29.410617034749908,33.04224972372599,42.35480003676509
51,21.615483230553288,35.7042392261007,16.138601325087777,17.07789856500718,19.77522252665277,21.120083490420107,21.75570991587204,26.64353651964366,27.86830221505417,32.34460072953102,39.7358848446859
52,21.328945384700884,35.018592339380234,15.821041214387598,16.719086965692924,19.33293194043924,20.7611773616924,21.284414635033595,24.641999384656245,27.10871629652729,31.04307576079457,39.30044417843128
53,20.777277513598143,33.82283892186012,15.526546885111786,16.446887728285247,18.933642498962524,19.798730613358263,20.964911731546152,24.20175154519052,24.905871218925068,30.551094994903156,38.30418194260789
54,20.30865607936992,33.350795919222975,15.214082171425495,15.62330452111007,18.682104248845096,19.244692818357716,19.672572984463365,23.59912461389219,24.427703699776007,28.529579330973338,37.938242886569945
55,19.949910760065933,31.427092113637265,14.83269444754385,15.309529843295998,17.886948168751577,18.951271872306204,19.34432613135628,22.30105678567033,23.877268170470614,28.062286860888506,35.79156119820704
56,19.619548359737102,31.21326231464981,14.494609039801228,15.014706118945664,17.648941657855843,18.087120955018325,19.011593719714377,22.03329382879979,23.51878895434872,27.75330175877608,35.64476102880984
57,19.022259358303028,30.69106976838939,14.212234383205171,14.883058361898948,17.320422015212216,17.737579045841237,18.06728037599489,21.11490774893472,23.096898274802538,25.78091632404325,35.217550598141
58,18.671869344613885,28.619475708359115,13.924247333434598,14.576822169566942,16.348348313440155,17.534844290949348,17.689093772370043,20.17744150468743,22.09567872474612,25.326725386095543,33.380745393852166
59,18.47349285467817,28.253461854129327,13.706721445874038,14.28298527524132,15.796394588577463,15.88462597075866,17.3154455302896,19.79198670764878,21.076036970424852,24.362877246131628,32.978820858861035
60,18.188750115777648,27.193254544736025,13.542272490388012,14.053339218797973,15.45481991511078,15.341510768402914,15.775065215853049,19.480207863234565,20.682011255421077,23.43887833880145,32.19439346603867
61,17.783234934928235,26.20970295240308,13.442136657808982,13.946563687387227,15.233722236663947,14.977070887291989,14.604433763377456,17.842934532326648,20.27823700473152,23.24038115253944,31.34973734853634
62,17.456039388995613,25.85868952686421,13.296147467653434,13.76765135223966,14.87371050088342,14.60527602225736,14.172892207824168,16.724302164572403,18.61592740065572,23.01395527428102,31.185653100349302
63,17.215878363174156,25.46829975685793,13.072257944088276,13.598386488618852,14.645768278205344,14.416633820821511,13.217271038479495,16.315160681037657,17.450523365161548,21.365931259865647,30.98326019390057
64,17.001905081441922,23.80861125130265,12.911110833701487,13.380828432365696,14.505635459923926,14.268207203032798,12.964403451864907,15.425956643445286,17.0951399288239,19.70019893999387,29.45461257175417
65,16.599152289538434,21.594492512959015,12.766937831577252,13.211759957521984,14.278903884143055,14.073030522852903,12.721808566594143,15.124744835617244,16.25631628036055,19.18214223092353,27.30171999196463
66,16.22847978223268,21.088154893886,12.651516203730942,13.026646792562849,14.09364522785078,13.883071511367394,12.418228998651996,14.85801150105288,15.938395000580076,17.15886824090184,26.56176230132227
67,15.949862747806144,18.991484641995672,12.498919180064426,12.890562978187225,13.913505333146643,13.676870159892935,12.262003914439823,14.56952004334177,15.706349905534903,16.80171123305985,24.44588821092792
