Unnamed: 0,x0,x1,Target,Hypothesis
0,4.493875946332654,13.27626337495264,-147.6218432848662,Poor
1,-3.536995973758226,11.418745750122843,-4.475608269502271,Global
2,-1.2959304025050944,2.071975312144793,-51.13947793770689,Global
3,-0.0283015509360282,1.244993475103393,-42.63973921760034,Global
4,5.079656219206999,12.098906972424864,-131.1723566450681,Global
5,6.0,15.0,-212.3922533851893,Poor
6,5.019796756286218,13.68757620687369,-167.20147027681253,Poor
7,-3.556883440429944,11.385983708231564,-4.8596537305929886,Global
8,-3.4156291578406424,11.628906537055936,-2.483745633175343,Global
9,-3.348269451028807,11.888406873891403,-1.3922115521085088,Global
10,-3.405187725158365,11.949268483097857,-1.6669402830844082,Global
11,-3.1319536270709163,11.94584597755306,-0.4919701187048423,Global
12,-2.973771655351336,11.983373107622,-0.5444612666699336,Global
13,-3.0728942195933846,12.004099909615867,-0.431860207576367,Global
14,-3.071638549255727,11.992455372974268,-0.4346109940944909,Global
15,-3.075318809183804,11.997535055025937,-0.4330709857304339,Global
16,-3.065571510218052,11.98828164648521,-0.4365966463265188,Global
17,-3.07840990326677,12.010348511110529,-0.4298893959661851,Global
18,-3.0694728151892137,12.0066580456052,-0.432005209582141,Global
19,-3.073058652380384,12.011769719527432,-0.4302560939280211,Global
20,-3.0827461030778824,12.024696199528902,-0.4264610026181488,Global
21,-3.07623567700883,12.027073956163164,-0.4267436112335902,Global
22,-3.075145112874869,12.0470358890791,-0.4238171986857692,Global
23,-3.072846906439185,12.108211642338649,-0.4205728888218037,Global
24,-3.088863741988171,12.096423922102248,-0.4139592359373185,Global
25,-3.085077601046612,12.090416423608405,-0.415635990622522,Global
26,-3.0923977064015613,12.107202656529797,-0.4119925444657315,Global
27,-3.094552221901943,12.088399660108934,-0.4139610554316189,Global
28,-3.086483690426629,12.164867755615374,-0.4129447532446727,Global
29,-3.1025038537798624,12.17292761860024,-0.4052915113536478,Global
30,-3.114416450966273,12.21282402308026,-0.4014421792105276,Global
31,-3.1169629825882783,12.252060592238031,-0.4021081330394359,Global
32,-3.119736515497118,12.357549523925654,-0.4184092917222713,Global
33,-3.135567971395452,12.269198557031448,-0.3981368345540948,Global
34,-3.1326346319149345,12.288574376818811,-0.3995040897799516,Global
35,-3.1462055263455704,12.311135509817058,-0.3986168655980133,Global
36,-3.122793315367663,12.285262786853435,-0.4026528398642963,Global
37,-3.1492956483639483,12.284677127352207,-0.3982504254116494,Global
38,-3.1496428877279987,12.286694128210174,-0.398257183767594,Global
39,4.498738347856518,13.27783910284325,-147.75411688667322,Poor
40,4.490836823456034,13.282012886836275,-147.6983443019731,Poor
41,-3.1360861928133663,12.294865635844394,-0.3991282139577252,Global
42,-3.1212529245859506,12.214194578726977,-0.4000169716645708,Global
43,-3.1406283316463446,12.34684552891541,-0.4033919588653835,Global
44,-3.1497547983488,12.301768851553897,-0.3982582513409987,Global
45,-3.127337859561592,12.242627221956337,-0.3988663663962015,Global
46,4.488194369470766,13.273805055279093,-147.4526162395576,Poor
47,4.459036021621046,13.249936414826784,-146.31772395158322,Poor
48,-3.151872066042952,12.305724051068823,-0.3984307413699131,Global
49,-3.1447137498711912,12.30403443794269,-0.3983977717958425,Global
50,-3.13316524982116,12.2389924035631,-0.3984768264296346,Global
51,-3.1308301316165967,12.254348840454687,-0.398470495219736,Global
52,-3.1321815235984123,12.267474645118348,-0.3985399996983813,Global
53,4.435777590836239,13.222778163553327,-145.22142353435007,Poor
54,4.411166340952426,13.185572742335642,-143.86431335602614,Poor
