,RS,lamcts,turbo,hypbo - Good,lamcts+ - Good,pibo - Good,hypbo - Weak,lamcts+ - Weak,pibo - Weak,hypbo - Poor,lamcts+ - Poor,pibo - Poor
RS,1.0,0.002916865709067617,0.0013592401622246756,2.2952205421348404e-15,1.4183433771953317e-14,2.204186881243399e-18,5.129160102157211e-10,1.3653928314203566e-09,0.04249014793187191,0.12503735016151843,0.02313217196525226,0.0002689667246337505
lamcts,0.002916865709067617,1.0,0.796127134207915,1.9298085782696403e-10,1.3653928314203566e-09,9.043677917139674e-14,4.793259062866022e-05,0.00011487686026659932,0.3035927465304045,0.12503735016151843,1.2129864565265208e-06,3.6364056905114605e-09
turbo,0.0013592401622246756,0.796127134207915,1.0,5.129160102157211e-10,3.6364056905114605e-09,2.309089698670315e-13,0.00011487686026659932,0.0002689667246337505,0.1996722237521242,0.0746154256419991,4.6809316446505173e-07,1.3653928314203566e-09
hypbo - Good,2.2952205421348404e-15,1.9298085782696403e-10,5.129160102157211e-10,1.0,0.6056782263146685,0.04249014793187191,0.0013592401622246756,0.0006134842211473915,4.000107862581415e-12,5.936763654361184e-13,9.614350905604173e-19,7.922470893710538e-21
lamcts+ - Good,1.4183433771953317e-14,1.3653928314203566e-09,3.6364056905114605e-09,0.6056782263146685,1.0,0.012066094905892378,0.006045232447945849,0.002916865709067617,2.7551990331989145e-11,4.000107862581415e-12,5.097250843614822e-18,3.792038029915455e-20
pibo - Good,2.204186881243399e-18,9.043677917139674e-14,2.309089698670315e-13,0.04249014793187191,0.012066094905892378,1.0,1.2129864565265208e-06,4.6809316446505173e-07,2.2952205421348404e-15,3.838376422172127e-16,1.7107194740167135e-21,2.0842037443138358e-23
hypbo - Weak,5.129160102157211e-10,4.793259062866022e-05,0.00011487686026659932,0.0013592401622246756,0.006045232447945849,1.2129864565265208e-06,1.0,0.796127134207915,1.2129864565265208e-06,1.7904559730169836e-07,9.043677917139674e-14,3.838376422172127e-16
lamcts+ - Weak,1.3653928314203566e-09,0.00011487686026659932,0.0002689667246337505,0.0006134842211473915,0.002916865709067617,4.6809316446505173e-07,0.796127134207915,1.0,3.109134063861166e-06,4.6809316446505173e-07,2.309089698670315e-13,9.346924500851125e-16
pibo - Weak,0.04249014793187191,0.3035927465304045,0.1996722237521242,4.000107862581415e-12,2.7551990331989145e-11,2.2952205421348404e-15,1.2129864565265208e-06,3.109134063861166e-06,1.0,0.6056782263146685,4.793259062866022e-05,1.7904559730169836e-07
hypbo - Poor,0.12503735016151843,0.12503735016151843,0.0746154256419991,5.936763654361184e-13,4.000107862581415e-12,3.838376422172127e-16,1.7904559730169836e-07,4.6809316446505173e-07,0.6056782263146685,1.0,0.0002689667246337505,1.2129864565265208e-06
lamcts+ - Poor,0.02313217196525226,1.2129864565265208e-06,4.6809316446505173e-07,9.614350905604173e-19,5.097250843614822e-18,1.7107194740167135e-21,9.043677917139674e-14,2.309089698670315e-13,4.793259062866022e-05,0.0002689667246337505,1.0,0.12503735016151843
pibo - Poor,0.0002689667246337505,3.6364056905114605e-09,1.3653928314203566e-09,7.922470893710538e-21,3.792038029915455e-20,2.0842037443138358e-23,3.838376422172127e-16,9.346924500851125e-16,1.7904559730169836e-07,1.2129864565265208e-06,0.12503735016151843,1.0
