,x0,x1,Target,Hypothesis
0,5.0976270078546495,14.430378732744838,-187.4931463938034,Horrible
1,4.0976270078546495,6.430378732744839,-27.33774982679584,Bad
2,3.232202558909872,10.727840495586292,-73.06930978991562,Global
3,4.041450641074658,8.173247744953454,-46.22043429122874,Global
4,1.354821990083571,9.688411695999841,-43.50238935107039,Global
5,3.0,5.0,-7.316460332239643,Bad
6,3.005599254790305,5.007272230824332,-7.3710123304174475,Bad
7,5.0,5.0,-26.622742555461393,Bad
8,-4.999999999999999,0.0,-308.12909601160663,Global
9,10.0,0.0,-10.960889035651505,Global
10,-5.0,15.0,-17.50829951577817,Global
11,5.0956838791357395,0.0,-15.139442096265558,Global
12,-5.0,10.479140577827314,-57.72396250606857,Global
13,3.0,7.0,-21.76441117408377,Bad
14,3.0,5.544369846389135,-10.456573559325346,Bad
15,10.0,3.683042963354236,-2.4056581174218445,Global
16,10.0,7.53245218782479,-22.45947089582615,Global
17,-2.0684219089258384,15.0,-31.993695675845736,Global
18,7.684376771305073,1.433925915159694,-11.622042291985158,Global
19,3.2497984814801386,2.0520944920739232,-0.4736548768110354,Global
20,1.1584092108790403,4.239030242300666,-13.856721352982328,Global
21,10.0,1.9509047407680487,-3.0499537883586525,Global
22,4.668325052365255,2.112654677550812,-10.105811140226416,Global
23,2.7037442738979705,0.0,-8.279768694467524,Global
24,10.0,5.429231837638406,-7.8299521663886,Global
25,4.0,13.0,-131.39659094232968,Horrible
26,3.1185671334936083,5.0,-7.728145457380501,Bad
27,2.20974703425438,2.507549136109004,-4.641388671427435,Global
28,-3.2816473450125123,13.023781636897883,-0.659731251283409,Global
29,-2.034257456388965,11.934351812817487,-10.382250248563642,Global
30,-4.787317325943983,13.270988198341614,-21.668060982371383,Global
31,8.801004667275764,3.3021913366289852,-3.904204931325009,Global
32,3.0010240302571622,5.01067112685879,-7.375322679015771,Bad
33,3.024418900502723,5.000484760403573,-7.3929010844296155,Bad
34,3.101565149455457,3.178915870089527,-1.1668227496602106,Global
35,-2.6196510619947393,13.245039691884175,-6.468967755173866,Global
36,-0.8271201725145887,7.679591370013521,-16.576132308381816,Global
37,3.4118845632463675,0.9205491861244904,-2.0761488573883256,Global
38,-3.1511097703551374,12.143206967172718,-0.4222470774146775,Global
39,-2.330114772098336,10.140910687149693,-3.4619946035262754,Global
40,9.213039748452076,2.3197857099815384,-0.6126402241379592,Global
41,-2.8209648881373397,11.142622409970423,-1.0279420788472338,Global
42,-3.592234334864902,14.185187985909977,-1.998013840891922,Global
43,9.653355028310278,2.8237526377969995,-0.6698988641278047,Global
44,3.0088013722935036,5.018477216089079,-7.439571205454975,Bad
45,3.0097701244553123,5.0018712138979655,-7.355153039061019,Bad
46,2.822520093417792,1.4270169181438588,-2.114563220703148,Global
47,9.161528051527144,1.225114331800385,-1.8036015694158323,Global
48,8.499760812844961,0.0,-7.480233356339999,Global
49,2.9705978728614872,2.5296110843337134,-0.5517267754247562,Global
50,2.578663064173593,3.50602366202405,-2.4436603253939686,Global
51,3.011110220529826,5.002665049294879,-7.363354556400442,Bad
52,3.0043005030727463,5.012654548015222,-7.395418642038143,Bad
53,-2.884466837533299,11.771599692449406,-0.7247926231521623,Global
54,-3.08422373300398,12.498281906823056,-0.5438089174745162,Global
55,3.3404717292008077,2.5237626958913464,-0.7461600750259391,Global
56,9.396368963427257,1.9826757301436317,-0.6212212905884336,Global
57,9.459784865464496,3.208650289117598,-0.8993341494884552,Global
58,3.0135083440490344,5.003986675796861,-7.377565705956177,Bad
59,3.027595109456948,5.002500801690091,-7.413558514438822,Bad
60,-3.446862971176521,13.565996881711047,-1.139208296250227,Global
61,9.453010843992999,2.489650774858973,-0.40179988646990555,Global
62,-3.2852893687825246,12.548895082818701,-0.5023449822042773,Global
63,3.0603642506726816,2.1867505947401016,-0.45278811246458844,Global
64,9.366433279015183,2.7464653507854107,-0.5167800292705078,Global
65,-3.0785190032537884,11.699688270018841,-0.5969644504071426,Global
66,3.2640396624587042,1.6998899574600816,-0.7016767081767564,Global
67,3.0165868490627403,5.003087599392568,-7.38225638211483,Bad
68,3.003639281565859,5.009805976926156,-7.378494151439323,Bad
69,3.1509094646421247,2.3227724203790734,-0.4013320722407223,Global
70,9.43467043121729,2.3552355385249384,-0.41477233742753283,Global
71,-3.15227507348855,12.29794089432377,-0.39844276267363793,Global
72,-3.0817534725009468,12.053586734021252,-0.42116810799194276,Global
73,9.435725791947275,2.527163868504937,-0.4003043646169191,Global
74,-3.167674792903825,12.343546345690452,-0.4011865973335094,Global
