,u10_l1,u10_l10,u10_l2,u10_l3,u10_l4,u10_l5,u10_l6,u10_l7,u10_l8,u10_l9,u1_l10
0,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602,10589399.859547568
1,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297
2,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297
3,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297
4,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297,80376.44390149297
5,71760.07022547488,71760.07022547488,71760.07022547488,71760.07022547488,71760.07022547488,71760.07022547488,71760.07022547488,71760.07022547488,71760.07022547488,71760.07022547488,71760.07022547488
6,65678.8704541156,69747.12764028896,69747.12764028896,69747.12764028896,69747.12764028896,69747.12764028896,69747.12764028896,69747.12764028896,69747.12764028896,69747.12764028896,69747.12764028896
7,57185.04635102354,59960.84932449948,55473.41078328055,59960.84932449948,59960.84932449948,59960.84932449948,59960.84932449948,59960.84932449948,59960.84932449948,59960.84932449948,59960.84932449948
8,54961.419504555415,59406.14182603894,53470.6922164763,57745.00039733959,59406.14182603894,59406.14182603894,59406.14182603894,59406.14182603894,59406.14182603894,59406.14182603894,59422.91177653299
9,54380.12400606464,57964.25727310779,51461.567441883024,55385.05804111227,57013.113074845,57964.25727310779,57964.25727310779,57964.25727310779,57964.25727310779,57964.25727310779,58002.30717058778
10,53604.92643640693,55929.924842878674,48619.95554522624,53341.901421719536,54894.22071563027,55198.68683990978,55929.924842878674,55929.924842878674,55929.924842878674,55929.924842878674,55989.53021814791
11,51551.04173900992,55287.1562296006,48095.41943949495,51791.64168590578,54265.60003137975,54599.99662038666,55287.1562296006,55287.1562296006,55287.1562296006,55287.1562296006,55357.329607986205
12,49412.98976283295,54713.09887259799,46318.91745784089,51545.7035724087,52956.922667670005,54069.9747220834,54713.09887259799,54713.09887259799,54713.09887259799,54713.09887259799,54788.85789932517
13,46723.36021001528,54350.11185136178,45339.39151905158,50803.72379934351,52405.101786375046,52852.53901637665,54350.11185136178,54350.11185136178,54350.11185136178,54350.11185136178,54427.59217807714
14,45239.03105305004,53063.78775095467,44208.58472029219,48472.12715274622,51008.512899496,51856.18016391472,52451.344156031104,53063.78775095467,53063.78775095467,53063.78775095467,53141.26807767002
15,43838.65739828131,52500.15150093865,43210.35405928246,47539.10360251317,49301.44035217338,51178.90752262123,51887.70790601507,52122.42918991298,52500.15150093865,52500.15150093865,52593.435421367816
16,41474.31298418689,51815.08643778418,41561.62669512599,46327.77824348714,48752.41948836104,49681.01219995364,51206.138321724415,51440.85960562233,51492.78705265642,51815.08643778418,51920.72914806733
17,39001.877480378185,50548.58132549036,39980.54632359229,45444.74857901909,47943.49379783856,48977.88647205433,49746.98912750507,50429.852532986064,50445.81337889336,50438.204462217655,50661.81050456222
18,36970.07745453369,49423.51170702369,38207.22337657629,44719.28839716098,47435.75648844189,48431.28371443253,49121.23014365624,49042.36472282148,49404.34585985507,49396.73694317936,49542.83395963631
19,35279.4148135954,48822.16574405627,36748.9709910203,43769.860218976246,46619.06272071873,47804.59147550187,48420.93196616299,48489.22654645615,48848.72950287364,48850.333576856254,48943.62564483081
20,32915.89155235066,47996.44585730024,35532.34827634504,42818.5201046994,45460.74951406436,46762.90398023919,47628.78498428872,47531.657264360496,48074.52401833785,48026.90798411928,48118.08967375582
21,30685.19576032541,47008.30155644602,33591.50865443298,41606.48837865853,44218.82192678304,45429.42318799552,46440.31330626085,46559.508113099706,46972.39972183248,47092.536351583,47129.9453729016
22,28914.673348086257,45945.606029116105,31845.405027921348,40325.171649446456,43193.83116717238,44494.09993143415,45294.973788535855,45476.74605739366,45976.64825534375,45929.08840456836,46067.649430840975
23,27230.81822487326,44822.49114163224,30331.787258840726,39170.52999271632,41953.89952488098,43515.10573407302,44288.13105722229,44494.763187084754,44851.35609945217,44935.6454068601,44947.58548092717
24,25463.30869746204,43905.75027328354,28933.45001219501,37860.99889297457,41181.031377025305,42575.18855908253,43384.80595571966,43631.012030597616,43991.66049602752,43948.98599655873,44053.89408052647
25,24128.33984874126,42932.37630095598,27767.32754838454,36577.342011805136,40348.17384683913,41696.21320402606,42518.12647439979,42713.48712353819,43019.85253071712,43022.16652128566,43110.28932043141
26,23047.103819727035,41994.741313931656,26607.21726466668,35686.76489655839,39478.51117630437,40926.17638105873,41711.58546928256,41849.48161141147,42095.84594210019,42054.76914205188,42192.193453222935
27,21828.510423317624,41003.1149561826,25524.44045773933,34620.18223216708,38727.990628522566,40056.45080132231,40879.4102969551,40929.39443353823,41101.59512322758,41069.01730584575,41216.57419961723
28,20761.975412838477,40045.47824774576,24663.754048970317,33537.53578131387,37912.034209636,39281.0213967196,39915.69872829351,40042.52852187492,40130.68107143578,40123.14187307205,40269.44010514968
29,19958.70130456378,38764.88401028598,23577.26672947977,32397.28117559925,36431.44026967103,38096.6490112262,38753.47781232686,38846.51907447,38934.90316655255,38891.772912240514,38994.670804797264
30,19315.823045801822,37594.814752537415,22675.525146778135,31237.55444312683,35450.24637479253,37184.27058092936,37802.16655687698,37803.94372802159,37874.16072794475,37814.06342842962,37825.680140288205
31,18575.48019640126,36451.321634094624,21972.029877440677,30273.719457662795,34417.709185919644,36219.52780482583,36835.9047706284,36867.55268820735,36691.68451639822,36685.47544696261,36682.187021845406
32,17858.516633050887,35585.77507423528,21009.469127473614,29467.517468790404,33525.07743267265,35468.54646659422,36104.129913809775,35958.70345636361,35838.953905547176,35719.43322186053,35836.53496519691
33,17352.507556843775,34984.0903986739,20353.22325967846,28654.77450092009,32860.7491787029,34763.04272337056,35453.743208447864,35351.68426072418,35156.977453473024,35117.784838624255,35243.0390839794
34,16560.88993760156,34249.57594998551,19638.965844743863,28037.592867950727,32029.97051362469,33969.58054382399,34637.426431288164,34493.757656416274,34178.82748481986,34395.13760791221,34516.52950220704
35,15952.75766929456,33683.9952228422,19081.82411642698,27445.21729478972,31454.564169683945,33214.508442436054,33979.52223564301,33753.96853706915,33615.853436716774,33618.79814028618,33952.222116817415
36,15418.272086580027,33088.87101272902,18567.522221241376,26935.649820623534,30951.884502369376,32472.31689852331,33404.872089965065,33087.93027716661,32997.18001534197,33020.49852920602,33357.22537103617
37,14842.175080425422,32362.131171097342,18152.153088137904,26429.15225952739,30458.835834710266,31835.229943871385,32756.78303115256,32419.84736439462,32322.63870965421,32234.073498520866,32630.485529404505
38,14416.123689491184,31490.400551937382,17661.34391123717,25821.859957677447,29848.459843810066,31203.12066951033,31945.830573224648,31609.472925690665,31449.843817962028,31432.662571382774,31761.06395564453
39,14068.05622580039,30527.871788194687,17160.951329473817,25169.026706703666,29094.943579373747,30331.78589221952,31066.26459200144,30652.598487215,30515.443285087586,30562.283252635305,30815.81539678477
