,g10_l1,g10_l10,g10_l2,g10_l3,g10_l4,g10_l5,g10_l6,g10_l7,g10_l8,g10_l9
0,10786445.679669453,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602,10779867.55421602
1,2598878.7735897494,2618884.076382085,2618884.076382085,2618884.076382085,2618884.076382085,2618884.076382085,2618884.076382085,2618884.076382085,2618884.076382085,2618884.076382085
2,2018076.14169085,2026465.391845208,2026465.391845208,2026465.391845208,2026465.391845208,2026465.391845208,2026465.391845208,2026465.391845208,2026465.391845208,2026465.391845208
3,1681381.6030922525,1683036.9624746386,1683036.9624746386,1683036.9624746386,1683036.9624746386,1683036.9624746386,1683036.9624746386,1683036.9624746386,1683036.9624746386,1683036.9624746386
4,1598571.4102810642,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263
5,1598571.4102810642,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263
6,1327939.0822322338,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263
7,1071945.3024285263,1598570.5658072263,1278587.0113564627,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263
8,918113.740946074,1598570.5658072263,1104221.7285449023,1399536.545680294,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263
9,797869.5408064068,1598570.5658072263,961655.9409499344,1302025.474997628,1479445.740160732,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263
10,701643.7904674982,1598570.5658072263,848069.1909261564,1177017.2764187444,1448631.5080757516,1523549.6556301997,1598570.5658072263,1598570.5658072263,1598570.5658072263,1598570.5658072263
11,631004.951059419,1598570.5658072263,749514.7223960328,1053390.233705968,1394353.4246614904,1513003.1452282094,1528314.295559978,1598570.5658072263,1598570.5658072263,1598570.5658072263
12,568453.5245526852,1598570.5658072263,665879.6687906515,936531.7333550134,1297295.7690611957,1481883.014529077,1522820.2694212594,1544842.1768071216,1598570.5658072263,1598570.5658072263
13,514524.3548053468,1598570.5658072263,618338.5770710491,836195.694779709,1166150.1141727671,1415492.941127047,1504538.779160016,1528742.4343341703,1550697.3286954071,1598570.5658072263
14,468321.23407518177,1598570.5658072263,571130.2723792848,764640.9609312859,1051139.9429093625,1325448.8045327736,1470892.59679665,1521770.5508482235,1540034.9446693454,1558462.0015644566
15,428020.16492006846,1566070.276259611,513796.2317413803,705079.1546050449,958422.1862763364,1210571.041812881,1415040.8360899389,1499122.8545064928,1536996.540442361,1550214.0015664685
16,388897.8497860076,1558358.8288733074,463410.6834097251,657613.1913807974,884010.3397516328,1113335.5931450338,1339688.9881941923,1461722.5619353354,1521408.7705324732,1548134.0171215057
17,359972.6610230599,1556785.2617665676,424192.1304660618,613836.113041542,822411.1255415571,1025763.7816845616,1264012.6806791285,1398473.71829574,1489296.7736652426,1538939.0170424974
18,327349.19340840576,1552454.628671327,390910.1238209212,574530.4181101178,764437.3285551411,950738.68504118,1180644.647921452,1322669.181702562,1442413.4461853767,1522920.1676312278
19,293421.43936269294,1539526.3904457884,362000.7753819219,529115.1494568388,714503.8837194628,886461.4983461468,1105378.061376064,1234360.486077207,1377861.202360317,1494809.935677884
20,259110.45483927135,1518272.0209896096,337633.44273409946,486650.6547363433,671514.8203825445,833380.446597806,1032760.2741920224,1157369.8247856016,1303187.1331834828,1441405.9018492878
21,235104.2503302068,1481958.2880809435,311999.0663714704,447985.2200588489,629969.1266745627,782592.8860557668,971345.2956620024,1090703.075583682,1221484.475120211,1374202.9577063683
22,213091.260057622,1421914.7199481926,290882.6620789517,408977.3119264794,597003.0647641434,738278.3770502937,922015.3262120876,1032334.7259402502,1149599.8589345068,1297198.859783624
23,193519.67890519323,1349279.9991526734,266030.1328015323,381369.9660913953,563347.1782003309,700574.0969877051,878060.3361287054,974553.828743224,1087474.3373831683,1223711.4569118333
24,175615.4418752494,1276783.514230434,240724.4588718043,357161.155485108,527113.5060933338,663716.3789443425,832723.1864047066,927614.965853455,1033071.3867142068,1159579.451031095
25,158248.20291576852,1209300.2217804417,221546.35472370868,336249.6179949495,486761.2666397824,628636.6824667465,787045.4330558478,885986.4636439767,980870.5944797418,1093112.2010471567
26,143811.8411607338,1146877.2928977225,207376.98875979532,320342.2765116166,452291.180645612,601304.0236751123,745764.252528639,844671.5452383239,934506.6445643714,1036058.8020026876
27,131199.28717444369,1090470.4752516728,193422.57735345396,303934.3208343485,422395.10306537664,569482.7502323742,703571.5587978248,803660.514701374,888800.788563515,990503.3952258896
28,121814.06890445849,1042315.4790246324,181390.43351198945,285522.40155346616,397584.0277844764,523704.4742656148,671409.9539072003,762577.7474581536,850690.2960169846,953106.0487733452
29,113314.65189533196,1000045.8580321234,171540.27573430355,257515.4824480412,376562.6788812116,485654.8600098384,643729.0670223593,725847.0763008796,808242.5483958015,917664.7181486632
30,108035.80259460025,952841.1005661072,160804.37906254234,237489.24171988163,356583.2309813728,459207.45506290166,614647.2086270596,692485.6939942342,761005.5820257881,872343.2231952995
31,103351.3277396388,908327.755565499,152762.44841349236,222271.06728523533,339226.7427982255,443813.1095872125,582188.9638900119,657699.8511076019,718975.9245375578,822633.4345237331
32,98204.29459070764,863010.9864239484,146168.1449167988,209179.04716955972,323649.7450433254,427502.0278098949,555140.6969513381,621717.4724867294,688833.259904597,778340.6478147928
33,94396.25888886166,819325.6159592423,138107.9275800022,199587.04230577176,306957.4791263174,402754.01628975687,530511.3472842558,586454.5416357263,655885.1872780418,744659.3334920055
34,90145.40203797429,779347.2406148103,132266.22142973164,186949.1134767132,290047.83297569,377548.1683611252,505760.1984619541,558928.3403845505,619833.2553676855,714298.2981782869
35,86548.05308917673,742593.8306029368,125572.07065070934,176840.16722663678,274302.7946322317,361211.3156691481,481791.3056238711,532213.7347810181,592249.2951726026,680848.5432833259
36,81707.71585519912,711501.9547244479,118700.32705413135,166286.47535672144,262036.56884161773,346944.78428332857,460029.8175676268,511482.2966539512,569292.9174280451,651409.065057376
37,76774.6758835345,688411.0893353027,111137.96653471024,156511.6719495352,250942.5403122648,336082.4765212124,439346.5449635895,482153.782962754,546198.8169517308,626238.2391306659
