,u10_l1,u10_l10,u10_l2,u10_l3,u10_l4,u10_l5,u10_l6,u10_l7,u10_l8,u10_l9,u1_l10
0,21.67649397198878,21.68807772326704,21.684370174786963,21.684370174786963,21.684370174786963,21.684370174786963,21.684370174786963,21.684370174786963,21.684370174786963,21.684370174786963,21.67072772842719
1,17.291012192137817,17.306033220760497,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.282212728502532
2,17.291012192137817,17.306033220760497,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.282212728502532
3,17.291012192137817,17.306033220760497,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.282212728502532
4,17.291012192137817,17.306033220760497,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.29676923060264,17.282212728502532
5,17.24093752231681,17.253914686865166,17.245693067385215,17.245693067385215,17.245693067385215,17.245693067385215,17.245693067385215,17.245693067385215,17.245693067385215,17.245693067385215,17.22826038709503
6,17.207887499265603,17.253914686865166,17.245693067385215,17.245693067385215,17.245693067385215,17.245693067385215,17.245693067385215,17.245693067385215,17.245693067385215,17.245693067385215,17.22826038709503
7,17.002490059511924,17.23950684028082,17.16347601227663,17.231573377732552,17.231573377732552,17.231573377732552,17.231573377732552,17.231573377732552,17.231573377732552,17.231573377732552,17.213239440656036
8,16.366829971205103,17.21099805066688,16.903925270791778,17.09887652565358,17.20363476391089,17.20363476391089,17.20363476391089,17.20363476391089,17.20363476391089,17.20363476391089,17.183517511058522
9,15.780812606438294,17.208797637331536,16.162636148609497,16.62908497986437,17.064868105807594,17.201478358842255,17.201478358842255,17.201478358842255,17.201478358842255,17.201478358842255,17.18122346311316
10,15.246388158057693,17.20110581817678,15.504124763031982,16.30498162085399,16.669908755036104,17.05435386031555,17.19394037607059,17.19394037607059,17.19394037607059,17.19394037607059,17.173204332505012
11,14.886474705512796,17.18568208467373,14.818651522468553,15.945578622195177,16.383432502244133,16.809533728295104,17.05066947955078,17.178825117237608,17.178825117237608,17.178825117237608,17.163451772782306
12,14.372130260652538,17.185423224404847,14.366931836646684,15.604581758866503,16.05957046425379,16.64675678576898,16.925754814707354,17.128056001427666,17.1785714341741,17.1785714341741,17.163181897182824
13,13.822380280644506,17.159427027504428,13.81931413532875,14.977344810754673,15.75327917685457,16.424263584877316,16.686257362642813,16.931591050557994,17.14957942005703,17.153095161211684,17.140488829673323
14,13.27742450632613,17.13006435486033,12.96657013369126,14.362653615910592,15.365557161944528,16.106344626461183,16.55585969867315,16.77757962851777,16.837199453805784,17.097346118281518,17.119642579257338
15,12.68020703509132,16.981449021977316,12.48676809062019,13.802382756802237,14.832620335412807,15.748768489881986,16.22788395377259,16.55737361027675,16.616239935284383,16.83097294137257,16.983026375982288
16,12.064179874292265,16.59147173394889,11.718110394151614,13.169492219273272,14.379473982375549,15.342602967450787,15.910891832475654,16.282539551967186,16.29760620517742,16.655175421472833,16.700086435670904
17,11.473014232827662,16.473367115472126,11.196645995868405,12.38276769851009,13.85139894028998,14.869722089295568,15.522865164077578,15.946491390789006,15.987173227181351,16.455400899220287,16.618078792498004
18,10.768412341713193,16.252371747430754,10.596051939729511,11.84559515067152,13.414254758251518,14.317167617367234,15.29232677751192,15.733857141230065,15.753161619823173,16.258697388296955,16.55120679973987
19,10.172164365741136,16.01695274158413,9.96696198492458,11.305384311004945,12.728257035818594,13.757852543912149,14.713693366659609,15.302561014211232,15.57814885098141,16.03845550176766,16.503496015946354
20,9.61071120912938,15.883062282138624,9.301521809291527,10.652697939191476,12.194310383051745,13.420421697904755,14.394101206942391,14.88178897520949,15.383591367335436,15.907937255462668,16.472807459947244
21,9.054231623854232,15.667284974301989,8.771780171670056,9.99227131246657,11.581392312978966,12.952308762433502,14.20647378000149,14.60081756612235,15.057888780162903,15.704127919652114,16.4282249473925
22,8.63042370506332,15.523017134535248,8.205632890477785,9.347021008004628,11.214109815626305,12.48113140017294,13.933218924169209,14.342681329449258,14.815562402478866,15.61805241596933,16.411587942959816
