,u10_l1,u10_l10,u10_l2,u10_l3,u10_l4,u10_l5,u10_l6,u10_l7,u10_l8,u10_l9,u1_l10,u5_l2
0,15.690006313300348,15.714560908198251,15.714560908198251,15.714560908198251,15.714560908198251,15.714560908198251,15.714560908198251,15.714560908198251,15.714560908198251,15.714560908198251,15.714560908198251,15.714560908198251
1,0.3921417772060691,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494
2,0.3921417772060691,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494,0.3907160487353494
3,0.3948813761496509,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882
4,0.3948813761496509,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882,0.3936070680095882
5,0.3911570776497503,0.3898414320030555,0.3898414320030555,0.3898414320030555,0.3898414320030555,0.3898414320030555,0.3898414320030555,0.3898414320030555,0.3898414320030555,0.3898414320030555,0.3898414320030555,0.3898414320030555
6,0.2089125895687671,0.3736670162504463,0.3736670162504463,0.3736670162504463,0.3736670162504463,0.3736670162504463,0.3736670162504463,0.3736670162504463,0.3736670162504463,0.3736670162504463,0.3736670162504463,0.3312782762626067
7,0.0391004817065547,0.341636123070254,0.2889949284095901,0.341636123070254,0.341636123070254,0.341636123070254,0.341636123070254,0.341636123070254,0.341636123070254,0.341636123070254,0.341636123070254,0.3158175070284276
8,0.0286749300167468,0.302623497639391,0.1791673583488253,0.2402895023626436,0.302623497639391,0.302623497639391,0.302623497639391,0.302623497639391,0.302623497639391,0.302623497639391,0.302623497639391,0.313538557536884
9,0.0123612418088961,0.1756631899827265,0.0579260487325825,0.1564310424183724,0.1675303902209991,0.1756631899827265,0.1756631899827265,0.1756631899827265,0.1756631899827265,0.1756631899827265,0.1756631899827265,0.3171235044118466
10,0.0104469358787145,0.1526920892600667,0.0551932676812271,0.1372895680036909,0.1520583016770259,0.1530383961889807,0.1526920892600667,0.1526920892600667,0.1526920892600667,0.1526920892600667,0.1526920892600667,0.3107207383080955
11,0.0090830368029743,0.0439916454393508,0.0130479145231417,0.035945584662598,0.0352713088826738,0.0443667028211074,0.0442808679821591,0.0439916454393508,0.0439916454393508,0.0439916454393508,0.0439916454393508,0.3107207383080955
12,0.0073536843012305,0.0293622115198681,0.011911466036136,0.0189492323484589,0.0233168554203783,0.0257790831649539,0.0272210728661264,0.0293247774655095,0.0293622115198681,0.0293622115198681,0.0293622115198681,0.1938649435967483
