,g10_l1,g10_l10,g10_l2,g10_l3,g10_l4,g10_l5,g10_l6,g10_l7,g10_l8,g10_l9
0,17415.207265876834,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378
1,17415.207265876834,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378
2,17415.207265876834,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378
3,17415.207265876834,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378
4,17415.207265876834,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378,17587.189538412378
5,13469.23022591431,13507.886021915583,13507.886021915583,13507.886021915583,13507.886021915583,13507.886021915583,13507.886021915583,13507.886021915583,13507.886021915583,13507.886021915583
6,12382.741281408751,13797.81848226836,13797.81848226836,13797.81848226836,13797.81848226836,13797.81848226836,13797.81848226836,13797.81848226836,13797.81848226836,13797.81848226836
7,10824.600146774595,12840.482102981034,11910.281822460916,12840.482102981034,12840.482102981034,12840.482102981034,12840.482102981034,12840.482102981034,12840.482102981034,12840.482102981034
8,10802.921304309297,12303.242368994275,11570.170693184227,11826.833136588994,12303.242368994275,12303.242368994275,12303.242368994275,12303.242368994275,12303.242368994275,12303.242368994275
9,10263.621187916187,11152.259104497696,10708.658332120634,10231.297573592125,10935.331262705931,11152.259104497696,11152.259104497696,11152.259104497696,11152.259104497696,11152.259104497696
10,10744.51817185488,8808.906562153288,9869.184077714584,9087.835792340438,9051.30687759893,9030.535018957262,8808.906562153288,8808.906562153288,8808.906562153288,8808.906562153288
11,10757.946599624938,7855.477546358897,9264.394332760668,8656.422107737257,8393.17693853635,8782.104762947421,7855.165701811121,7855.477546358897,7855.477546358897,7855.477546358897
