,Weak_Good
0,83289.5250024957
1,2071.2762993154297
2,2071.2762993154297
3,2071.2762993154297
4,2071.2762993154297
5,2071.2762993154297
6,2071.2762993154297
7,256.4455299860282
8,256.4455299860282
9,256.4455299860282
10,256.4455299860282
11,256.4455299860282
12,256.4455299860282
13,256.4455299860282
14,256.4455299860282
15,256.4455299860282
16,256.4455299860282
17,256.4455299860282
18,255.7237860859444
19,255.7237860859444
20,255.7237860859444
21,255.7237860859444
22,251.12490385693292
23,251.12490385693292
24,251.12490385693292
25,251.12490385693292
26,251.12490385693292
27,251.12490385693292
28,150.8508022383293
29,131.8828421147333
30,120.33300786694676
31,119.20119883714024
32,118.8478395615725
33,118.16636515461008
34,115.57627958608808
35,104.82656816254196
36,101.89741999471023
37,95.67859044264549
38,90.396251111491
39,90.21186789851632
40,90.14237432310854
41,89.50076811898944
42,88.96385694226386
43,88.56998114559235
44,85.65313231158933
45,85.60530857078483
46,85.39204224794338
47,83.87650471841702
48,81.52909058672422
49,80.23457788672998
50,80.23457788672998
51,78.8967701378506
52,78.8967701378506
53,78.74160602189144
54,78.40432825598042
55,78.40432825598042
56,74.16058407084839
57,71.92795780836217
58,71.57632269659035
59,71.08327765813753
60,71.08327765813753
61,68.9966621535267
62,67.11699986990718
63,66.93689457198383
64,66.93689457198383
65,66.70632382635705
66,66.70262641394997
67,66.55131582896645
68,66.320790324968
69,66.29066336074686
70,66.10023751217241
71,66.10023751217241
72,65.56143403803185
73,64.93082509670256
74,64.8677763136775
75,64.62777291012856
76,62.47509540931953
77,61.95459097484439
78,61.72879690376855
79,61.72879690376855
80,61.0307018537878
81,60.91836962012916
82,60.91836962012916
83,60.63026790491196
84,59.21430987227633
85,58.50821040693516
86,58.02708355154801
87,58.02708355154801
88,57.92273169343409
89,57.82600407130526
90,57.16234161195799
91,56.77968074068266
92,56.77968074068266
93,56.53005743702517
94,56.37318768008385
95,56.11877357653277
96,55.79183598507652
97,55.15818089438181
98,55.15818089438181
99,53.51934242839504
100,53.31769248562612
101,53.26444820595094
102,53.26444820595094
103,52.911770451259805
104,52.81956736257839
