Who,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
BB,0.24071468,1.0211588,0,0.2600006,0,1.96,0.75911057,0.49360955,0,0,0.472544096
BB,0,1.7571295,0.4602882,0,0.21024476,1.28,0,0,0.72841126,0.25910398,0.176207834
BB,0,0.75436956,0.21013159,0,0.22025666,1.24,0.2872305,0,1.2443683,0.24913824,0.270064197
BB,0.7422041,0.24839048,0,0.26896632,0.72083837,4.645,0.99504966,0.24176782,0,0,0.175751853
BB,0.51151943,0.2483896,1.0106329,0,0.5005827,1.795,0.5026536,0.28206247,0.28327066,0,0.153308244
BB,0.23068467,0.2483896,0.7504698,0.78896666,0,3.68,0.24619853,0.49360955,0.9813317,0,0.159387117
BB,0.2507447,1.2603495,0.24015106,0.26896632,0.73085123,4.285,0,0,0.22256933,0.23917247,0.78392879
BB,0.2507447,0.48758024,0,0.2868978,0.9811426,2.26,0,0.50368345,0.26303658,0.75737953,0.316703804
BB,0.28083476,0.2299908,0.23014458,0,1.4917362,0.99,0,0.49360955,0,0.7474147,0.151358614
BB,0.2507447,0.48758024,0,1.0041403,1.2214221,1.395,0,0.25184172,0.47549078,0,0.191682251
BB,0.4914594,0.4967801,0.5003132,0.4931048,0.75087404,1.93,0,0.25184172,0.50584096,0,0.263623831
BB,0.5115185,0.23918976,0,1.5151757,0.23026949,3.165,0.23594005,0.7454522,0,0.48830977,0.448358958
BB,0.99294883,0.2483896,0.74046427,0.51103544,0,4.4,0.48213762,0.554052,0.25292048,0,0.156058693
BB,0.24071468,0.22079095,0.7604763,0,0.24027947,2.2,0.74885213,0.49360955,0.23268639,0,0.166688291
BB,0,0.48758024,0,0,0,4.94,0,0,0,0,2.744416275
BB,0,0.4967801,0,0,0,4.975,0,0,0,0,2.712016034
BB,0.24071565,1.00276,0,0.26896632,0,1.96,0.7385927,0.49360955,0,0,0.42426413
BB,0,1.72953,0.4903067,0,0.2703151,1.39,0,0,0.72841126,0.24913824,0.181907784
BB,0,0.76356936,0.22013807,0,0.22025666,1.39,0.24619755,0,1.2544854,0.24913824,0.299041963
BB,0.7422041,0.23918976,0,0.25103486,0.7708978,4.76,1.0053082,0.25184172,0,0,0.225696371
BB,0.4914594,0.2483896,0.9806134,0,0.470548,2,0.4923961,0.25184172,0.25292048,0,0.160040912
BB,0.27080473,0.24839048,0.7304568,0.7531054,0,3.795,0.24619755,0.48353565,0.9813317,0,0.151581818
BB,0.26077473,1.2511497,0.22013807,0.26896632,0.74086213,4.375,0,0,0.25292048,0.24913824,1.020435539
BB,0.26077473,0.4783804,0,0.25103486,0.97113067,2.4,0,0.48353565,0.23268639,0.72748417,0.330874485
BB,0.2507447,0.2299908,0.24015011,0,1.5217718,0.995,0,0.50368345,0,0.7474147,0.149466224
BB,0.24071468,0.48758113,0,1.0041403,1.2614677,1.39,0,0.24176878,0.48560783,0,0.208638067
BB,0.5014894,0.48758024,0.4903067,0.5110363,0.7408631,2.01,0,0.24176782,0.4957239,0,0.329486788
BB,0.4914594,0.2483896,0,1.5062099,0.25029135,3.215,0.25645602,0.7655991,0,0.48831168,0.510935227
BB,0,0.2483896,0,0,0,3.795,0,0,0.2428044,4.2453156,2.614264814
BB,0.27080378,1.2327508,0,0,0.50058365,3.375,0,1.994587,0,0,1.290683342
BB,0,0.48758113,0,0,0,4.995,0,0,0,0,3.243890028
BB,0,0.4783804,0,0,0,4.995,0,0,0,0,2.988685172
BB,0,0.27599,0,4.2586317,0,4.98,0,0,0,0,1.948774945
BB,0.24071468,0.73597074,0.23014362,0,0.26030323,5,0,0,0,0,1.167144179
BB,0,0.28518897,3.7523491,0.4931048,0,5.02,0,0,0,0,0
BB,0,0.2483896,0,1.5062108,0.22025666,5.005,0,0.7454513,0.47549078,0.7573805,0.203083544
BB,0.24071468,0.25759032,0,0,0.9611188,4.99,0.4923951,0.7555252,0,0.72748417,0.167043319
BB,0,2.4839013,0,1.2462102,0,4.995,0,0,0,0,4.874229131
BB,0,0.2299908,0,0,4.495232,4.985,0,0,0,0,0.842460414
BB,4.513405,0.23919064,0,0,0,5,0,0,0,0,0.611415902
BB,0.26077473,0.23919064,2.5115726,0.7441396,0,5.065,0.5026536,0,0,0,0
BB,0,0.48758024,0.48030022,0,0.23026854,5.05,0.24619755,0,0,0,1.516076179
BB,0,0.23919064,4.2626686,0,0,4.99,0,0,0,0,0
BB,0,0.47838128,0,3.9986293,0,4.98,0,0,0,0,2.814925956
BB,0.24071468,0.48758024,0,0.7531054,1.2314329,4.97,0,0,0.23268734,0,1.000388994
BB,0,0.2299908,0,0,0,4.97,4.246912,0,0,0,1.658719934
BB,0,0.4783804,0,0,0,5.01,0,0,0,0,3.086023316
BB,0,0.48758024,0,0,0,4.97,0,0,0,0,3.090701557
BB,0.5014894,0.47838128,0.49030766,0.25103486,0.23026758,4.985,0.48213762,0,0,0,0.882000191
BB,0,4.72861,0,0,0,4.985,0,0,0,0,5.123514471
BB,0,0.2299908,0,0,4.2449417,5.005,0,0,0,0,0.723724318
BB,0.27080473,0.48758024,0,0.4931048,0.74086213,5.01,0.2256806,0,0,0,4.8656377
BB,0,0.48758024,0,4.2406993,0,4.98,0,0,0,0,2.394540195
BB,0.23068562,0.2299908,1.2407765,0,0.470548,5.01,0,0.7454513,0,0.7573805,0
BB,0,0.2299908,4.4928126,0,0,4.99,0,0,0,0,0
BB,0,0.23919064,0,0.7351739,0,5.01,3.477544,0,0,0,1.210028538
BB,0.24071565,0.98436034,1.7410907,0,0,5.04,0,0,0.23268639,0,0.149983334
BB,4.222541,0.2483896,0,0,0,5.015,0,0,0,0,0.667708441
BB,0,4.4894204,0,0,0,4.975,0,0,0,0,5.503283488
BB,2.7581918,0.27598915,0,0,1.4516906,5.015,0,0,0,0,0.168426546
BB,0,0.23919064,1.0006274,0,0.48055893,5.02,0.23593907,0.7555252,0,0.73744893,0.171813784
BB,0.4914594,0.7267709,0.7404633,0,0,5.005,0.4923961,0,0.24280342,0,0.307453311
BB,0,0.48758024,0,0,0,4.985,0,0,0,0,3.036410558
BB,0,0.48758113,0,0,0,5,0,0,0,0,2.747445953
BB,0,3.523459,0,0,0,4.19,0,0,0,0.50824225,6.263277166
BB,0,2.9990792,0,0,0,4.6,0,0,0,1.1958634,8.468736412
BB,0,3.2474706,0,0,0,4.2,0,0,0,1.4848636,8.719445229
BB,0,3.23827,0,0,0,4.805,0,0,0,1.2257596,8.934360517
BB,0,2.9898813,0,0,0,4.595,0,0,0,0.7573805,8.039154099
BB,0,3.2382708,0,0,0,4.75,0,0,0,0.9865881,8.902232244
BB,0,2.9990792,0,0,0,4.805,0,0,0,1.2357254,10.11013307
BB,0,0.2299908,0.7204513,0,0,1.79,3.7852905,0,0,0,0.160298434
BB,0,3.229071,0,0,0,4.19,0,0,0,0.7573805,8.300328859
BB,0,3.4866605,0,0,0,4.335,0,0,0,0.75737953,8.760529103
BB,0,3.229071,0,0,0,4.85,0,0,0,1.4948294,11.05218562
BB,0,4.2410307,0,0,0,4.835,0.24619755,0,0,0.23917247,6.004935755
BB,0,0.22079095,0.74046427,0,0,1.51,3.7545161,0,0,0,0.165855939
BB,0,3.2382708,0,0,0,4.57,0,0,0,0.72748417,9.252018357
BB,0,0.50597996,0,0,0,4.94,0,0,0,0,3.732598847
BB,0,0.48757938,0,0,0,4.975,0,0,0,0,3.529477574
BB,0,3.7534506,0,0,0,4.37,0.2256806,0,0,0.73744893,5.323435923
BB,0,3.735051,0,0,0,4.98,0.25645602,0,0,0.72748417,6.148709984
BB,0,3.2474706,0,0,0,4.555,0,0,0,1.255657,9.083342489
BB,0,3.23827,0,0,0,3.595,0,0,0,1.255657,8.269023843
BB,0,3.24747,0,0,0,4.365,0,0,0,0.99655294,8.468700817
BB,0,3.2474706,0,0,0,4.77,0,0,0,0.98658717,8.821016097
BB,0,3.008279,0,0,0,5.02,0,0,0,1.4948294,10.68492042
BB,0,4.00184,0,0,0,4.465,0.23593907,0,0,0,4.715763587
BB,0,3.2658703,0,0,0,4.785,0,0,0,1.2456912,9.94715634
BB,0,2.9806814,0,0,0,4.375,0,0,0,1.5047952,10.62057702
BB,0,3.2566698,0,0,0,4.965,0,0,0,1.2357254,10.45931155
BB,0,0.23919064,1.0006274,0,0,2.54,3.4980612,0,0,0,0.15722172
BB,0,3.01748,0,0,0,4.425,0,0,0,0.99655294,9.063864691
BB,0,3.2382708,0,0,0,5.055,0,0,0,1.4848636,11.34892136
BB,0,0.46918055,0,0,0,5.085,0,0,0,0,3.434037984
